,0,1
4,Gm26206,0
5,Xkr4,1
6,LOC118567655,0
7,Rp1,0
8,Sox17,75
9,Gm22307,0
10,Gm37323,0
11,Gm39586,0
12,Gm46082,0
13,Gm29874,0
14,Mrpl15,974
15,Lypla1,3018
16,LOC118567656,5
17,Tcea1,930
18,Rgs20,2
19,Gm16041,0
20,Atp6v1h,782
21,Oprk1,0
22,Npbwr1,0
23,Gm46206,0
24,Rb1cc1,792
25,Alkal1,0
26,St18,0
27,Pcmtd1,2227
28,Gm23274,0
29,Gm26901,4
30,Gm39589,0
31,Sntg1,11
32,Gm30719,0
33,Gm24765,0
34,Rrs1,348
35,Adhfe1,2046
36,2610203C22Rik,32
37,Vxn,1
38,Mybl1,12
39,Vcpip1,765
40,1700034P13Rik,21
41,Gm39590,1
42,Sgk3,150
43,Gm6195,1
44,Mcmdc2,1
45,Snhg6,90
46,Snord87,0
47,Tcf24,3
48,Ppp1r42,0
49,LOC115487608,0
50,Cops5,864
51,Cspp1,416
52,Arfgef1,1923
53,Cpa6,0
54,Gm25253,0
55,Prex2,107
56,Gm24173,0
57,A830018L16Rik,0
58,Gm30898,0
59,Gm30974,0
60,Gm22633,0
61,Gm39591,0
62,Mir6341,0
63,Gm17644,0
64,Sulf1,26
65,Slco5a1,2
66,Gm39592,0
67,Prdm14,0
68,Ncoa2,1399
69,Gm23169,0
70,Gm39595,0
71,Tram1,3790
72,Lactb2,6835
73,Xkr9,373
74,Gm26273,0
75,Gm5523,0
76,Gm31195,0
77,Gm39596,0
78,Eya1,0
79,Msc,2
80,Gm9947,6
81,Trpa1,0
82,Kcnb2,0
83,Gm51616,181
84,Gm51617,9
85,Gm25168,0
86,Terf1,171
87,Sbspon,1
88,Gm31523,0
89,4930444P10Rik,0
90,Rpl7,4388
91,Rdh10,545
92,Stau2,95
93,Gm7568,0
94,C130013N14Rik,6
95,Ube2w,346
96,Eloc,471
97,D030040B21Rik,0
98,Tmem70,721
99,Ly96,70
100,LOC118567657,0
101,Jph1,26
102,Gm46085,0
103,Gm31982,0
104,Gdap1,0
105,Gm28784,0
106,Gm39597,0
107,Pi15,0
108,Gm28154,0
109,Gm16070,0
110,Crispld1,0
111,Crisp4,0
112,Defb44-ps,0
113,Defb18,0
114,Defb41,0
115,Gm28343,0
116,Gm15825,0
117,Tfap2d,0
118,Tfap2b,0
119,Gm32651,0
120,Pkhd1,183
121,4930486I03Rik,0
122,Gm24162,0
123,Lincmd1,0
124,Mir206,0
125,Mir133b,0
126,Il17a,0
127,Il17f,0
128,Mcm3,109
129,Gm24723,0
130,6720483E21Rik,0
131,Paqr8,9
132,Gm24171,0
133,Gm51618,0
134,Efhc1,1
135,Tram2,72
136,Tmem14a,68
137,Gm32947,0
138,Gm28836,0
139,Gsta3,36178
140,Gm7094,0
141,Gm4956,459
142,Khdc1a,0
143,Khdc1c,0
144,Gm33147,0
145,Khdc1b,0
146,Kcnq5,4
147,LOC118567719,2
148,Rims1,0
149,Gm7759,0
150,Ppp1r14bl,0
151,Gm30442,0
152,Gm29506,2
153,LOC118567721,123
154,Mir30a,0
155,Mir30c-2,0
156,Ogfrl1,380
157,Gm19673,0
158,Gm28822,0
159,B3gat2,21
160,Smap1,328
161,Gm53062,0
162,Sdhaf4,154
163,Fam135a,600
164,Col9a1,0
165,Col19a1,0
166,Gm26418,0
167,Lmbrd1,1219
168,Gm29414,0
169,Adgrb3,0
170,Gm20172,0
171,Gm22260,0
172,Gm25294,0
173,Gm9884,0
174,Gm39614,0
175,Gm31076,0
176,Gm31136,0
177,4931408C20Rik,0
178,Gm5524,265
179,Gm597,0
180,Gm45942,0
181,Gm6462,0
182,Mir6342,0
183,Gm31465,0
184,Gm31525,0
185,Gm39615,0
186,Gm31581,0
187,Gm46086,0
188,LOC115487655,0
189,Phf3,1252
190,Ptp4a1,622
191,LOC115487084,2
192,Gm29669,0
193,Gm28644,4
194,4931428L18Rik,0
195,Lgsn,0
196,Dnaaf6,0
197,Gm26145,0
198,Gm4850,0
199,LOC115487662,0
200,Gm23032,0
201,Gm51754,0
202,Khdrbs2,0
203,Gm25814,0
204,Gm9839,0
205,Gm5415,0
206,Gm24732,0
207,Gm39616,0
208,Gm24901,0
209,Gm39617,0
210,Gm25792,0
211,Gm23453,0
212,Prim2,45
213,1700001G17Rik,2
214,Gm32229,0
215,Rab23,276
216,Bag2,61
217,Zfp451,224
218,Gm15455,1
219,Bend6,3
220,Gm38471,0
221,Dst,2295
222,LOC118567732,0
223,Mir6896,0
224,Gm51742,1
225,Gm26788,0
226,Gm3052,3
227,LOC118567733,2
228,Mir5103,0
229,n-TEttc1,0
230,Ccdc115,236
231,Imp4,522
232,Gm32504,0
233,Ptpn18,42
234,LOC118567734,3
235,4930568A12Rik,1
236,Gm32566,1
237,Prss39,0
238,Cfc1,0
239,Prss40,0
240,Amer3,0
241,AA619741,0
242,Gm38647,0
243,Arhgef4,11
244,Gm32920,0
245,Gm32790,0
246,Fam168b,1214
247,Plekhb2,406
248,LOC118567735,0
249,Gm25096,0
250,Gm25634,0
251,1110002O04Rik,0
252,Gm33176,0
253,Gm39622,0
254,Gm33222,0
255,Gm39623,0
256,Gm39624,8
257,Hs6st1,3520
258,LOC118567736,374
259,Gm33280,38
260,Uggt1,2761
261,Mir6897,0
262,Gm39625,0
263,Neurl3,200
264,Arid5a,20
265,Kansl3,1177
266,Mir6898,0
267,Fer1l5,0
268,Lman2l,458
269,Gm33401,0
270,Gm33454,0
271,Cnnm4,129
272,Cnnm3,537
273,Ankrd23,78
274,Ankrd39,62
275,Sema4c,126
276,Fam178b,1
277,Cox5b,3247
278,Actr1b,1738
279,4933424G06Rik,0
280,Gm33533,0
281,Zap70,139
282,Tmem131,1177
283,Vwa3b,6
284,Gm37020,0
285,Cnga3,0
286,Inpp4a,600
287,4930439A04Rik,0
288,Coa5,1901
289,Unc50,470
290,Mgat4a,35
291,4930594C11Rik,0
292,Gm39627,0
293,Cracdl,1
294,4930556I23Rik,0
295,4930470B04Rik,0
296,Gm39628,0
297,Tsga10,13
298,Lipt1,145
299,Mitd1,152
300,Mrpl30,697
301,Lyg2,0
302,Lyg1,0
303,Txndc9,720
304,Eif5b,1612
305,Gm34448,1
306,Rev1,140
307,Gm5099,0
308,Aff3,6
309,Gm16150,0
310,Gm16152,0
311,Gm34596,0
312,LOC115487659,0
313,Lonrf2,0
314,Chst10,3
315,Nms,0
316,Gm35171,0
317,Pdcl3,394
318,Gm35222,0
319,Mir6349,0
320,Npas2,458
321,LOC118567737,0
322,Rpl31,1585
323,Tbc1d8,379
324,Gm24826,0
325,LOC118567738,3
326,Cnot11,500
327,Snord89,10
328,Rnf149,1665
329,LOC115485772,0
330,Gm51620,55
331,Creg2,0
332,D930019O06Rik,0
333,Rfx8,0
334,Gm3646,0
335,1700066B17Rik,0
336,Gm35600,0
337,Map4k4,337
338,Gm16894,0
339,Il1r2,0
340,Gm35741,0
341,Il1r1,503
342,Il1rl2,10
343,Il1rl1,4
344,Il18r1,12
345,Il18rap,4
346,Gm35801,0
347,Slc9a4,0
348,LOC118567739,0
349,Slc9a2,0
350,Gm37915,0
351,Mfsd9,58
352,Tmem182,0
353,4930448I06Rik,0
354,LOC118567740,0
355,Gm39631,0
356,Gm35935,0
357,Gm29260,0
358,Gm28175,0
359,Gm46088,0
360,Gm36678,0
361,LOC118567741,0
362,Gm46089,0
363,Gm36822,0
364,Pantr1,0
365,Gm46091,0
366,Pou3f3,0
367,2900092D14Rik,0
368,Pantr2,0
369,Dalir,0
370,LOC118567742,0
371,Mrps9,319
372,Gm23126,0
373,Gm39633,0
374,Gpr45,0
375,Tgfbrap1,1287
376,Gm28782,5
377,8430432A02Rik,11
378,AI597479,186
379,Fhl2,6
380,Gm29040,1
381,LOC115487086,0
382,Nck2,79
383,Gm38628,2
384,Gm30634,0
385,Ecrg4,2
386,Uxs1,327
387,Tpp2,916
388,Mettl21c,0
389,Gm8251,1
390,Tex30,60
391,Poglut2,180
392,Bivm,273
393,Ercc5,388
394,Mettl21e,0
395,Gm28893,0
396,Gm39635,0
397,Gulp1,11
398,4930521E06Rik,0
399,Col3a1,862
400,Col5a2,84
401,Gm39637,0
402,Gm23216,0
403,Gm51621,0
404,Gm23974,0
405,Wdr75,276
406,Gm30900,0
407,Slc40a1,1314
408,Stk-ps2,0
409,Dnah7b,4
410,Gm31046,0
411,n-R5s211,0
412,Dnah7c,2
413,Slc39a10,283
414,Gm39638,0
415,Gm39639,0
416,Mir6350,0
417,C230029F24Rik,0
418,Gm39640,0
419,Gm28321,0
420,Tmeff2,10
421,9330175M20Rik,0
422,Cavin2,210
423,Nabp1,252
424,Gm17767,0
425,Gm31636,0
426,Myo1b,5014
427,Gm33795,0
428,Stat4,8
429,Gm31812,12
430,Stat1,1787
431,Gls,91
432,Gm31867,0
433,Gm31955,0
434,Gm23460,0
435,Nab1,1502
436,Gm53065,0
437,Gm28178,0
438,Nemp2,25
439,Mfsd6,372
440,Inpp1,271
441,Hibch,1221
442,1700019D03Rik,13
443,Mstn,0
444,1700019A02Rik,2
445,Pms1,121
446,Ormdl1,423
447,Osgepl1,375
448,Asnsd1,420
449,Asdurf,0
450,LOC118567743,0
451,Dnah7a,0
452,Gm32311,0
453,Stk17b,53
454,Hecw2,73
455,Mir7681,0
456,Gm51622,0
457,Gm25829,0
458,Ccdc150,1
459,Gtf3c3,326
460,Gm34066,0
461,Pgap1,335
462,Gm51623,0
463,Ankrd44,89
464,4930444A19Rik,0
465,Sf3b1,2573
466,Coq10b,199
467,Hspd1,6835
468,Hspe1,1618
469,Mob4,425
470,Rftn2,18
471,Gm10561,0
472,Mars2,54
473,Boll,9
474,Btf3-ps17,0
475,Plcl1,12
476,Gm6644,0
477,Gm39642,0
478,Gm32949,0
479,9130227L01Rik,0
480,1700003I22Rik,0
481,LOC118567744,0
482,Hsfy2,0
483,Satb2,20
484,Gm51624,0
485,9130024F11Rik,1
486,Gm38484,0
487,1700126A01Rik,0
488,BC055402,0
489,4930558J18Rik,1
490,1700066M21Rik,728
491,Tyw5,109
492,Maip1,398
493,Gm22371,0
494,LOC118567745,0
495,LOC115487664,0
496,Spats2l,25
497,LOC115487684,0
498,Kctd18,127
499,Sgo2a,2
500,Aox1,2629
501,Aox3,16469
502,Gm39643,164
503,Aox4,0
504,Aox2,2
505,Gm15759,0
506,LOC118567643,14
507,Bzw1,2400
508,Clk1,1199
509,Ppil3,119
510,Nif3l1,282
511,Orc2,88
512,Gm23966,2
513,Gm15834,5
514,Fam126b,283
515,Ndufb3,813
516,Gm20257,55
517,Flacc1,3
518,Cflar,2147
519,Gm39646,0
520,Casp8,533
521,Gm28802,0
522,Trak2,527
523,Stradb,808
524,C2cd6,1
525,Gm29018,0
526,Gm25502,0
527,Tmem237,63
528,Mpp4,44
529,Als2,2383
530,Gm33667,1
531,Cdk15,0
532,Gm51625,2
533,Gm33724,17
534,Gm33774,0
535,LOC118567746,2
536,Fzd7,646
537,Gm973,0
538,Gm28411,0
539,Gm39648,0
540,Gm33833,0
541,Sumo1,358
542,Nop58,330
543,Snord70,0
544,LOC115485825,0
545,Gm26287,0
546,Snord11,0
547,Bmpr2,842
548,Fam117b,163
549,Ica1l,2
550,Wdr12,261
551,Carf,110
552,Nbeal1,547
553,Cyp20a1,220
554,Abi2,20
555,Raph1,2877
556,Gm11578,0
557,Gm38388,13
558,Gm51626,2
559,Cd28,5
560,2310016D23Rik,0
561,Gm38137,1
562,Gm39650,0
563,Ctla4,2
564,Gm34649,0
565,Icos,13
566,LOC105243939,0
567,9530026F06Rik,0
568,Pard3b,177
569,Pard3bos1,1
570,Pard3bos2,0
571,Gm34881,0
572,Nrp2,617
573,Gm29083,0
574,4930487H11Rik,2
575,Gm4208,0
576,Gm35120,0
577,Gm39652,0
578,Gm35252,0
579,Gm38513,0
580,Ino80d,597
581,Ino80dos,32
582,Ndufs1,1856
583,Eef1b2,2005
584,Gm26457,0
585,Snora41,0
586,Gpr1,0
587,Zdbf2,0
588,1700039I01Rik,0
589,Gm11608,0
590,Gm23448,0
591,Gm35393,0
592,Adam23,164
593,Gm22281,2
594,Gm39653,0
595,Dytn,0
596,Mdh1b,0
597,Fastkd2,309
598,4933402D24Rik,3
599,Gm13749,0
600,Klf7,245
601,Mir6899,0
602,Gm13748,1
603,Gm35880,0
604,Gm39654,0
605,Gm35803,0
606,LOC118567747,0
607,Gm36148,0
608,Creb1,339
609,Mettl21a,152
610,Gm29152,0
611,2810408I11Rik,36
612,Ccnyl1,101
613,Fzd5,347
614,Plekhm3,62
615,Gm51628,0
616,Gm51627,2
617,Gm24788,0
618,Akr1cl,0
619,Cryge,0
620,Crygd,0
621,Crygc,0
622,Crygb,0
623,Cryga,0
624,D630023F18Rik,1
625,Gm36358,2
626,Idh1,9188
627,Pikfyve,718
628,Pth2r,0
629,LOC115487656,0
630,Crygf,0
631,Map2,25
632,Gm51629,0
633,Gm24729,0
634,Unc80,2
635,Gm39655,0
636,Rpe,490
637,Kansl1l,251
638,Gm46093,19
639,Acadl,3335
640,Gm15793,3
641,Gm27934,0
642,Gm25832,0
643,Myl1,0
644,Lancl1,335
645,LOC115487097,13
646,Cps1,96009
647,Gm26342,0
648,Gm39658,0
649,Gm15669,0
650,Erbb4,42
651,LOC118567748,2
652,Gm51744,6
653,Gm28497,0
654,Ikzf2,4
655,LOC118567749,0
656,Gm29822,0
657,Spag16,0
658,Gm23879,0
659,Gm23422,0
660,LOC115487661,0
661,Vwc2l,0
662,Gm29906,1
663,LOC118567750,0
664,Bard1,6
665,LOC118567751,0
666,Abca12,0
667,Gm39659,0
668,Atic,677
669,Fn1,49792
670,Apol7d,0
671,Gm39660,0
672,Gm30160,1
673,Gm30308,0
674,Gm8883,247
675,Gm28818,25
676,4933417E11Rik,0
677,Gm5528,0
678,Gm4319,0
679,Mreg,1025
680,Gm51630,0
681,Gm25360,0
682,Gm23472,0
683,D230017M19Rik,114
684,Gm24497,0
685,Gm25939,0
686,Pecr,3831
687,Tmem169,6
688,Gm51631,6
689,Xrcc5,478
690,Gm39661,0
691,Marchf4,0
692,Smarcal1,396
693,Gm39662,0
694,Ankar,0
695,Rpl37a,1482
696,Gm51632,0
697,Gm39663,0
698,Gm30788,0
699,Gm30847,0
700,Igfbp2,8574
701,LOC118567332,384
702,Igfbp5,346
703,Gm31047,0
704,Gm31137,0
705,Tnp1,0
706,1700027A15Rik,0
707,LOC118567752,1
708,Gm31254,0
709,Gm29185,0
710,Gm31344,0
711,Pinc,0
712,D530049I02Rik,0
713,C530043A13Rik,0
