"","annot","BH.Q","ADJ.P","PER","LAG","AMP"
"1","Sfpq",0.383685714285714,0.000446428571428571,24,18,440.070555726117
"2","Hlf",0.383685714285714,0.000446428571428571,24,15,236.474314856273
"3","Ankrd13a",0.383685714285714,0.000446428571428571,24,21,153.997578162908
"4","Dnaja4",0.383685714285714,0.000446428571428571,24,18,88.6916829431573
"5","St6galnac2",0.383685714285714,0.000446428571428571,24,0,152.575282678239
"6","Bean1",0.383685714285714,0.000446428571428571,24,15,89.8833404332485
"7","Rev1",0.383685714285714,0.000446428571428571,24,15,68.7891850746632
"8","Ostc",0.383685714285714,0.000446428571428571,24,18,159.831827843904
"9","Stk17b",0.383685714285714,0.000446428571428571,24,9,27.6181068788853
"10","Aph1b",0.383685714285714,0.000446428571428571,24,18,33.6053947355117
"11","4930579G24Rik",0.383685714285714,0.000446428571428571,24,9,5.95987798336934
"12","Alas1",0.383685714285714,0.00357142857142857,24,12,6061.5842074588
"13","Nr1d1",0.383685714285714,0.00357142857142857,24,9,3410.57112890829
"14","Id2",0.383685714285714,0.00357142857142857,24,0,2569.56877608252
"15","Eif4b",0.383685714285714,0.00357142857142857,24,9,587.33114726772
"16","Cbx4",0.383685714285714,0.00357142857142857,24,12,887.695764848403
"17","Eng",0.383685714285714,0.00357142857142857,24,21,559.436358379066
"18","Bmal1",0.383685714285714,0.00357142857142857,24,0,901.159807846422
"19","Angptl2",0.383685714285714,0.00357142857142857,24,12,312.745447599175
"20","Ldb1",0.383685714285714,0.00357142857142857,24,12,375.684173643106
"21","Chka",0.383685714285714,0.00357142857142857,24,0,609.238607728771
"22","Rorc",0.383685714285714,0.00357142857142857,24,21,467.66486357784
"23","Isyna1",0.383685714285714,0.00357142857142857,24,21,273.115598619342
"24","Caprin1",0.383685714285714,0.00357142857142857,24,0,1032.80168588319
"25","Clpx",0.383685714285714,0.00357142857142857,24,3,273.896660066768
"26","Snx3",0.383685714285714,0.00357142857142857,24,21,359.048794288962
"27","Cd200",0.383685714285714,0.00357142857142857,24,18,292.990204797542
"28","Mtmr11",0.383685714285714,0.00357142857142857,24,0,321.112117617664
"29","Gstm7",0.383685714285714,0.00357142857142857,24,6,198.245712606847
"30","Gabarapl1",0.383685714285714,0.00357142857142857,24,9,397.465425942636
"31","Bbln",0.383685714285714,0.00357142857142857,24,21,229.65444641319
"32","Hspa4l",0.383685714285714,0.00357142857142857,24,21,236.559106889278
"33","Ppp1r15b",0.383685714285714,0.00357142857142857,24,12,197.223117737342
"34","Lrrc55",0.383685714285714,0.00357142857142857,24,21,162.426809895956
"35","Pabpn1",0.383685714285714,0.00357142857142857,24,21,154.18469467184
"36","Dctn5",0.383685714285714,0.00357142857142857,24,21,128.392025370312
"37","Entr1",0.383685714285714,0.00357142857142857,24,18,85.4750099010131
"38","Sema5b",0.383685714285714,0.00357142857142857,24,15,310.128602305143
"39","Snrpa",0.383685714285714,0.00357142857142857,24,21,124.93352528845
"40","Mcam",0.383685714285714,0.00357142857142857,24,6,167.21731595964
"41","Rfx1",0.383685714285714,0.00357142857142857,24,21,107.999462257493
"42","Ggcx",0.383685714285714,0.00357142857142857,24,0,145.510307724069
"43","Sh3gl2",0.383685714285714,0.00357142857142857,24,0,173.779417115384
"44","Ninl",0.383685714285714,0.00357142857142857,24,0,108.238601984494
"45","Sash1",0.383685714285714,0.00357142857142857,24,3,82.6022129434593
"46","Pcdh12",0.383685714285714,0.00357142857142857,24,3,71.2471821102756
"47","Prex1",0.383685714285714,0.00357142857142857,24,6,73.4106536810222
"48","Zfp384",0.383685714285714,0.00357142857142857,24,21,120.293252830953
"49","Osbpl11",0.383685714285714,0.00357142857142857,24,9,84.6917299878484
"50","Tamalin",0.383685714285714,0.00357142857142857,24,12,93.1573388173465
"51","Synm",0.383685714285714,0.00357142857142857,24,12,101.042490978942
"52","Magi1",0.383685714285714,0.00357142857142857,24,6,72.5105884351636
"53","Cc2d1b",0.383685714285714,0.00357142857142857,24,18,82.4911952570258
"54","Rusc1",0.383685714285714,0.00357142857142857,24,15,64.5759628444813
"55","Alpl",0.383685714285714,0.00357142857142857,24,15,69.0262699847798
"56","Mpg",0.383685714285714,0.00357142857142857,24,0,73.4181594257653
"57","Rgl1",0.383685714285714,0.00357142857142857,24,3,63.8461163624192
"58","Tppp",0.383685714285714,0.00357142857142857,24,9,68.3344061267047
"59","Rnf149",0.383685714285714,0.00357142857142857,24,9,54.1594629443593
"60","Txnl4a",0.383685714285714,0.00357142857142857,24,21,53.5076933173351
"61","Abhd6",0.383685714285714,0.00357142857142857,24,21,137.073412719018
"62","Zfp511",0.383685714285714,0.00357142857142857,24,21,51.4333463851862
"63","Gm454",0.383685714285714,0.00357142857142857,24,9,48.7792128108197
"64","F11r",0.383685714285714,0.00357142857142857,24,6,112.610680194209
"65","H2az2",0.383685714285714,0.00357142857142857,24,15,50.1788503040742
