"","annot","BH.Q","ADJ.P","PER","LAG","AMP"
"1","Dbp",0.340835084033613,0.000446428571428571,24,12,1282.59510567713
"2","Cpt2",0.340835084033613,0.000446428571428571,24,18,382.104481644347
"3","Dtx4",0.340835084033613,0.000446428571428571,24,3,230.776570874077
"4","H2bc4",0.340835084033613,0.000446428571428571,24,0,239.904678268764
"5","Col5a3",0.340835084033613,0.000446428571428571,24,6,243.069537375896
"6","Golgb1",0.340835084033613,0.000446428571428571,24,12,130.976435729962
"7","Pdcd11",0.340835084033613,0.000446428571428571,24,12,122.104753407593
"8","Ino80",0.340835084033613,0.000446428571428571,24,12,84.0043499916215
"9","Cldn12",0.340835084033613,0.000446428571428571,24,18,86.0295807115928
"10","Timm29",0.340835084033613,0.000446428571428571,24,18,74.0722868793165
"11","Erp44",0.340835084033613,0.000446428571428571,24,0,61.880339857512
"12","Aspscr1",0.340835084033613,0.000446428571428571,24,12,87.7824660440974
"13","4631405J19Rik",0.340835084033613,0.000446428571428571,24,3,55.1351020697839
"14","Tbc1d2",0.340835084033613,0.000446428571428571,24,9,35.0855410858334
"15","Rpl23a",0.340835084033613,0.000446428571428571,24,15,12.492003173919
"16","Cd300a",0.340835084033613,0.000446428571428571,24,6,9.5334955132775
"17","Ctnna3",0.340835084033613,0.000446428571428571,24,21,10.4590064829069
"18","Tef",0.482849702380952,0.00357142857142857,24,15,2429.60215713047
"19","Per3",0.482849702380952,0.00357142857142857,24,15,1203.35081315217
"20","Zfp36l1",0.482849702380952,0.00357142857142857,24,0,1026.83073205607
"21","Slc27a1",0.482849702380952,0.00357142857142857,24,12,1178.20727833542
"22","Slc6a6",0.482849702380952,0.00357142857142857,24,12,1334.0940085108
"23","Pdia3",0.482849702380952,0.00357142857142857,24,0,1328.86107223126
"24","Nr1d2",0.482849702380952,0.00357142857142857,24,12,1337.55700567928
"25","Stip1",0.482849702380952,0.00357142857142857,24,21,678.66741396294
"26","Itpkb",0.482849702380952,0.00357142857142857,24,12,787.60317199073
"27","2310022B05Rik",0.482849702380952,0.00357142857142857,24,0,582.248235807903
"28","Naa60",0.482849702380952,0.00357142857142857,24,18,443.631462588867
"29","Flcn",0.482849702380952,0.00357142857142857,24,12,407.967157074919
"30","Aqp7",0.482849702380952,0.00357142857142857,24,9,618.817502000255
"31","Srsf11",0.482849702380952,0.00357142857142857,24,12,480.390651848383
"32","Top1",0.482849702380952,0.00357142857142857,24,18,254.259236830903
"33","Npas2",0.482849702380952,0.00357142857142857,24,3,226.206339537962
"34","Tshr",0.482849702380952,0.00357142857142857,24,3,205.678924972332
"35","Abce1",0.482849702380952,0.00357142857142857,24,21,189.351109959499
"36","Sdc2",0.482849702380952,0.00357142857142857,24,0,236.848830757499
"37","Manf",0.482849702380952,0.00357142857142857,24,21,217.702498017216
"38","Tpd52l2",0.482849702380952,0.00357142857142857,24,21,151.872379086821
"39","Slc5a6",0.482849702380952,0.00357142857142857,24,12,235.038502618322
"40","Rev1",0.482849702380952,0.00357142857142857,24,15,146.718090960506
"41","Gstt2",0.482849702380952,0.00357142857142857,24,12,216.692015341884
"42","Npr2",0.482849702380952,0.00357142857142857,24,12,168.225516718437
"43","Fkbp7",0.482849702380952,0.00357142857142857,24,0,108.184428507948
"44","Stard9",0.482849702380952,0.00357142857142857,24,12,107.2481494084
"45","Cramp1",0.482849702380952,0.00357142857142857,24,12,122.417511583491
"46","Ncoa7",0.482849702380952,0.00357142857142857,24,0,117.977656652996
"47","Dync1li1",0.482849702380952,0.00357142857142857,24,0,118.03139468424
"48","Fbxl6",0.482849702380952,0.00357142857142857,24,12,76.507762069094
"49","Smim15",0.482849702380952,0.00357142857142857,24,0,85.2189645675574
"50","Nfkbia",0.482849702380952,0.00357142857142857,24,12,174.908329567035
"51","Serpinb6b",0.482849702380952,0.00357142857142857,24,0,98.0668805668243
"52","Msmo1",0.482849702380952,0.00357142857142857,24,21,98.4607896874792
"53","Dnhd1",0.482849702380952,0.00357142857142857,24,12,59.6782220916086
"54","Wdr77",0.482849702380952,0.00357142857142857,24,18,82.2854415675645
"55","Mafb",0.482849702380952,0.00357142857142857,24,15,62.1843562217508
"56","Nbeal2",0.482849702380952,0.00357142857142857,24,12,50.0968684782572
"57","Grk5",0.482849702380952,0.00357142857142857,24,3,96.3746121603513
"58","Twnk",0.482849702380952,0.00357142857142857,24,18,56.4412349346715
"59","Rasl11a",0.482849702380952,0.00357142857142857,24,0,83.075129015484
"60","Zkscan1",0.482849702380952,0.00357142857142857,24,3,56.4571677868459
"61","Rufy1",0.482849702380952,0.00357142857142857,24,0,50.6338884384375
"62","Cldn1",0.482849702380952,0.00357142857142857,24,6,64.2071800737931
"63","Gck",0.482849702380952,0.00357142857142857,24,21,58.9611962823217
"64","Pip5k1b",0.482849702380952,0.00357142857142857,24,3,39.843248623761
"65","Cpsf4",0.482849702380952,0.00357142857142857,24,12,41.4027948821101
"66","Jpt2",0.482849702380952,0.00357142857142857,24,3,35.1281156506814
"67","Ddx10",0.482849702380952,0.00357142857142857,24,3,42.3538619369104
"68","Rsf1",0.482849702380952,0.00357142857142857,24,6,32.2063342030717
"69","Uck2",0.482849702380952,0.00357142857142857,24,0,25.7087964009927
"70","Catsperg1",0.482849702380952,0.00357142857142857,24,9,27.8532811866912
"71","Pin1",0.482849702380952,0.00357142857142857,24,12,29.6812648970182
"72","Foxo6",0.482849702380952,0.00357142857142857,24,18,33.2029264085541
"73","Trim37",0.482849702380952,0.00357142857142857,24,12,37.3323777452857
"74","Ctf1",0.482849702380952,0.00357142857142857,24,15,23.9063403006848
"75","B430219N15Rik",0.482849702380952,0.00357142857142857,24,12,26.5421847092328
"76","Gm15551",0.482849702380952,0.00357142857142857,24,21,28.8174088839696
"77","Rtl8a",0.482849702380952,0.00357142857142857,24,6,43.2497271524616
"78","Ofd1",0.482849702380952,0.00357142857142857,24,9,21.5085040033818
"79","Adamts8",0.482849702380952,0.00357142857142857,24,21,27.6052627162593
"80","Peg10",0.482849702380952,0.00357142857142857,24,0,12.8240678112714
"81","Selenoh",0.482849702380952,0.00357142857142857,24,15,12.6576461050086
"82","Aqp11",0.482849702380952,0.00357142857142857,24,15,12.4177934981278
"83","Calr-ps",0.482849702380952,0.00357142857142857,24,0,13.1113305994501
"84","Snai1",0.482849702380952,0.00357142857142857,24,21,11.3800877018992
"85","Rasd2",0.482849702380952,0.00357142857142857,24,15,13.8099620651485
"86","Ciart",0.482849702380952,0.00357142857142857,24,12,74.7843923613993
"87","Sdcbp2",0.482849702380952,0.00357142857142857,24,9,9.84567227060511
"88","Car3",0.54223763368984,0.015625,24,18,19410.9702916718
"89","Fmo1",0.54223763368984,0.015625,24,18,3680.7949513926
"90","Col3a1",0.54223763368984,0.015625,24,0,3359.2541139084
"91","ND6",0.54223763368984,0.015625,24,12,1831.92153235297
"92","Calr",0.54223763368984,0.015625,24,0,2192.16377759451
"93","Por",0.54223763368984,0.015625,24,15,1323.34934121731
"94","Aacs",0.54223763368984,0.015625,24,18,1240.79155721892
"95","Hsp90b1",0.54223763368984,0.015625,24,3,899.43637364546
"96","Tm4sf1",0.54223763368984,0.015625,24,3,867.002558478424
"97","Dhrs3",0.54223763368984,0.015625,24,0,808.299967717618
"98","Slc25a20",0.54223763368984,0.015625,24,18,602.236839053471
"99","Nrg4",0.54223763368984,0.015625,24,15,733.262230753573
"100","Fbxo21",0.54223763368984,0.015625,24,9,979.324920913705
"101","Adissp",0.54223763368984,0.015625,24,15,587.053058626978
"102","Limch1",0.54223763368984,0.015625,24,3,537.206294142342
"103","Ewsr1",0.54223763368984,0.015625,24,12,371.071347804491
"104","Son",0.54223763368984,0.015625,24,12,468.101971143301
"105","Epb41",0.54223763368984,0.015625,24,15,457.97430236911
"106","Mapk8ip3",0.54223763368984,0.015625,24,12,426.022290859415
"107","Pank3",0.54223763368984,0.015625,24,15,475.994285523671
"108","Serp1",0.54223763368984,0.015625,24,21,389.297077208768
"109","Snrk",0.54223763368984,0.015625,24,12,738.594880406421
"110","Gsta3",0.54223763368984,0.015625,24,21,313.351575706619
"111","Cyb5a",0.54223763368984,0.015625,24,18,386.369427565129
"112","Ets1",0.54223763368984,0.015625,24,9,294.883545912698
"113","Nfe2l2",0.54223763368984,0.015625,24,18,411.095159129108
"114","Fubp1",0.54223763368984,0.015625,24,21,319.750643722621
"115","Rbpms2",0.54223763368984,0.015625,24,18,232.64322853975
"116","Abca1",0.54223763368984,0.015625,24,15,303.785848218067
"117","Chordc1",0.54223763368984,0.015625,24,21,297.291290949992
"118","Kmt2b",0.54223763368984,0.015625,24,12,260.544706205046
"119","Acat2",0.54223763368984,0.015625,24,18,250.957120972868
"120","Plcg1",0.54223763368984,0.015625,24,12,260.298661346379
"121","Prxl2c",0.54223763368984,0.015625,24,0,273.031951389244
"122","Vat1l",0.54223763368984,0.015625,24,15,241.961659688711
"123","Setd5",0.54223763368984,0.015625,24,12,297.782554101941
"124","Ptger3",0.54223763368984,0.015625,24,21,266.709830521508
"125","Dapk1",0.54223763368984,0.015625,24,3,213.964663811987
"126","Ptprd",0.54223763368984,0.015625,24,21,276.969433405688
"127","Gsta4",0.54223763368984,0.015625,24,21,100.257495818538
"128","Slc25a34",0.54223763368984,0.015625,24,3,258.517673496411
"129","Adtrp",0.54223763368984,0.015625,24,12,290.852676766253
"130","Egln2",0.54223763368984,0.015625,24,15,143.521422975612
"131","Sbf1",0.54223763368984,0.015625,24,12,195.027883990736
"132","Trrap",0.54223763368984,0.015625,24,9,197.377643670826
"133","Ankrd9",0.54223763368984,0.015625,24,15,178.154617570844
"134","Sema3g",0.54223763368984,0.015625,24,9,194.766005671775
"135","Cdk11b",0.54223763368984,0.015625,24,12,186.603644717087
"136","Pan2",0.54223763368984,0.015625,24,12,168.821885357569
"137","Pdgfd",0.54223763368984,0.015625,24,0,238.83435465652
"138","Tspan9",0.54223763368984,0.015625,24,3,216.014147585382
"139","Tmem33",0.54223763368984,0.015625,24,21,212.319674512288
"140","Il15ra",0.54223763368984,0.015625,24,12,316.24652548926
"141","Hsd11b1",0.54223763368984,0.015625,24,18,200.42224929879
"142","Clock",0.54223763368984,0.015625,24,3,202.836652184879
"143","Cd164",0.54223763368984,0.015625,24,0,292.865492887493
"144","Rpsa-ps10",0.54223763368984,0.015625,24,12,165.424345411235
"145","Cipc",0.54223763368984,0.015625,24,15,144.424188509289
"146","Mprip",0.54223763368984,0.015625,24,6,514.091178494293
"147","Carhsp1",0.54223763368984,0.015625,24,12,315.191027731623
"148","Sbno1",0.54223763368984,0.015625,24,15,134.321414478641
"149","Map4k4",0.54223763368984,0.015625,24,6,249.910186298585
"150","Pid1",0.54223763368984,0.015625,24,21,153.143623595506
"151","Tmem82",0.54223763368984,0.015625,24,3,147.723088935953
"152","Emp1",0.54223763368984,0.015625,24,0,326.113786571079
"153","Ube2i",0.54223763368984,0.015625,24,12,152.688739844938
"154","Ptprz1",0.54223763368984,0.015625,24,0,316.16411417483
