"","annot","BH.Q","ADJ.P","PER","LAG","AMP"
"1","Dhrs3",0.228794642857143,0.000446428571428571,24,0,790.55313908002
"2","Amotl1",0.228794642857143,0.000446428571428571,24,3,937.129339572139
"3","Nr1d2",0.228794642857143,0.000446428571428571,24,12,1124.66296835699
"4","Tshr",0.228794642857143,0.000446428571428571,24,3,318.874705247523
"5","Ptma",0.228794642857143,0.000446428571428571,24,15,225.234019461243
"6","Czib",0.228794642857143,0.000446428571428571,24,21,199.151116095578
"7","Gm10076",0.228794642857143,0.000446428571428571,24,18,145.074324147862
"8","Plpp6",0.228794642857143,0.000446428571428571,24,18,269.910847518925
"9","Klf3",0.228794642857143,0.000446428571428571,24,6,98.8155204928143
"10","Asxl1",0.228794642857143,0.000446428571428571,24,6,127.215600917927
"11","Slc30a1",0.228794642857143,0.000446428571428571,24,9,126.231888854211
"12","Ptpn4",0.228794642857143,0.000446428571428571,24,12,95.2221100270347
"13","Cse1l",0.228794642857143,0.000446428571428571,24,3,134.30802554006
"14","Bysl",0.228794642857143,0.000446428571428571,24,18,79.5036470997183
"15","Gorasp2",0.228794642857143,0.000446428571428571,24,18,139.151602399285
"16","Setx",0.228794642857143,0.000446428571428571,24,9,61.9250409950834
"17","Akip1",0.228794642857143,0.000446428571428571,24,15,46.4610533575965
"18","Avpi1",0.228794642857143,0.000446428571428571,24,18,45.6388641888651
"19","Mysm1",0.228794642857143,0.000446428571428571,24,6,36.2055091790471
"20","Nfam1",0.228794642857143,0.000446428571428571,24,3,18.4370601577501
"21","St8sia6",0.228794642857143,0.000446428571428571,24,15,33.6760635907709
"22","0610040B10Rik",0.228794642857143,0.000446428571428571,24,15,13.8947936433385
"23","Por",0.24818401937046,0.00357142857142857,24,15,1890.99149596348
"24","Ndufs6",0.24818401937046,0.00357142857142857,24,15,1246.61576548125
"25","Slc6a6",0.24818401937046,0.00357142857142857,24,12,1051.13718250931
"26","Apmap",0.24818401937046,0.00357142857142857,24,12,925.309929721393
"27","Sik2",0.24818401937046,0.00357142857142857,24,6,1197.28921937605
"28","Fcgrt",0.24818401937046,0.00357142857142857,24,15,741.295760810148
"29","Rab5if",0.24818401937046,0.00357142857142857,24,15,786.931826369223
"30","Sh2b2",0.24818401937046,0.00357142857142857,24,18,945.970785900237
"31","Picalm",0.24818401937046,0.00357142857142857,24,12,753.05723369852
"32","Comt",0.24818401937046,0.00357142857142857,24,0,574.02471949774
"33","Dnaja1",0.24818401937046,0.00357142857142857,24,18,358.782687497113
"34","Ptp4a1",0.24818401937046,0.00357142857142857,24,15,582.917841336446
"35","Esrra",0.24818401937046,0.00357142857142857,24,15,437.818933056887
"36","Naa60",0.24818401937046,0.00357142857142857,24,18,504.49606218389
"37","C1qtnf9",0.24818401937046,0.00357142857142857,24,18,528.367313720743
"38","Gstt2",0.24818401937046,0.00357142857142857,24,15,388.958898365299
"39","Napa",0.24818401937046,0.00357142857142857,24,18,441.344122910958
"40","Calm2",0.24818401937046,0.00357142857142857,24,21,502.778158897737
"41","Dtx4",0.24818401937046,0.00357142857142857,24,3,329.277747657111
"42","Agl",0.24818401937046,0.00357142857142857,24,3,538.32682295197
"43","Psme1",0.24818401937046,0.00357142857142857,24,15,353.69875676775
"44","Dapk1",0.24818401937046,0.00357142857142857,24,3,345.799218332952
"45","Fmo2",0.24818401937046,0.00357142857142857,24,18,362.145759238925
"46","Bfar",0.24818401937046,0.00357142857142857,24,15,210.85951992261
"47","Ptdss2",0.24818401937046,0.00357142857142857,24,15,263.538601597243
"48","Gtf3c1",0.24818401937046,0.00357142857142857,24,6,240.999005114181
"49","Myh11",0.24818401937046,0.00357142857142857,24,15,379.34433987813
"50","Ufc1",0.24818401937046,0.00357142857142857,24,15,242.608077287108
"51","Ndst1",0.24818401937046,0.00357142857142857,24,6,339.592278476782
"52","Tinagl1",0.24818401937046,0.00357142857142857,24,15,591.310871668954
"53","BC005537",0.24818401937046,0.00357142857142857,24,12,354.404380747657
"54","Dtnbp1",0.24818401937046,0.00357142857142857,24,15,257.799866106917
"55","Arrb1",0.24818401937046,0.00357142857142857,24,6,333.932952270366
"56","Lamc1",0.24818401937046,0.00357142857142857,24,0,186.691177496618
"57","Septin11",0.24818401937046,0.00357142857142857,24,3,200.07774012568
"58","Poln",0.24818401937046,0.00357142857142857,24,18,275.856031859181
"59","Pdcd4",0.24818401937046,0.00357142857142857,24,15,230.695465079971
"60","Clock",0.24818401937046,0.00357142857142857,24,3,225.251319199828
"61","Zeb2",0.24818401937046,0.00357142857142857,24,3,203.394164988807
"62","Rab11fip5",0.24818401937046,0.00357142857142857,24,3,178.376444249361
"63","Cops7a",0.24818401937046,0.00357142857142857,24,21,174.342012966781
"64","Arel1",0.24818401937046,0.00357142857142857,24,12,161.358442196033
"65","Cdk11b",0.24818401937046,0.00357142857142857,24,15,184.519784362253
"66","Cul7",0.24818401937046,0.00357142857142857,24,9,148.820224859933
"67","Arap1",0.24818401937046,0.00357142857142857,24,9,244.838771430038
"68","Kctd3",0.24818401937046,0.00357142857142857,24,9,144.918736977066
"69","Sh3pxd2b",0.24818401937046,0.00357142857142857,24,3,148.326338040103
"70","Ccdc97",0.24818401937046,0.00357142857142857,24,21,141.97693028676
"71","Plekhh3",0.24818401937046,0.00357142857142857,24,18,278.102975041609
"72","Gm10167",0.24818401937046,0.00357142857142857,24,12,98.4502347444575
"73","Glrx2",0.24818401937046,0.00357142857142857,24,18,134.368180466987
"74","Jmjd8",0.24818401937046,0.00357142857142857,24,21,152.242037463624
"75","Kdm3a",0.24818401937046,0.00357142857142857,24,9,146.944524867329
"76","Carm1",0.24818401937046,0.00357142857142857,24,21,176.884939552082
"77","Map3k3",0.24818401937046,0.00357142857142857,24,6,118.117126675539
"78","Mmaa",0.24818401937046,0.00357142857142857,24,18,231.361136695331
"79","Mtmr6",0.24818401937046,0.00357142857142857,24,6,217.798001793602
"80","Sec16a",0.24818401937046,0.00357142857142857,24,9,134.245250057934
"81","Use1",0.24818401937046,0.00357142857142857,24,15,160.536492586268
"82","Fnip1",0.24818401937046,0.00357142857142857,24,12,117.722697404127
"83","Baz2a",0.24818401937046,0.00357142857142857,24,9,201.140461290307
"84","Castor2",0.24818401937046,0.00357142857142857,24,3,206.297789547039
"85","Slc5a6",0.24818401937046,0.00357142857142857,24,12,235.118705521875
"86","Ano6",0.24818401937046,0.00357142857142857,24,6,153.9598133264
"87","Lbh",0.24818401937046,0.00357142857142857,24,6,117.911550631291
"88","Adck2",0.24818401937046,0.00357142857142857,24,9,113.711842425003
"89","Ndufaf2",0.24818401937046,0.00357142857142857,24,15,93.4984551962405
"90","Cttn",0.24818401937046,0.00357142857142857,24,9,112.796047322654
"91","Il10rb",0.24818401937046,0.00357142857142857,24,18,177.173846872367
"92","Tut4",0.24818401937046,0.00357142857142857,24,6,85.2965751704385
"93","Ccdc124",0.24818401937046,0.00357142857142857,24,18,123.097766065652
"94","Cldn1",0.24818401937046,0.00357142857142857,24,6,141.530510991214
"95","Ctbp1",0.24818401937046,0.00357142857142857,24,18,118.784525463193
"96","Cdk4",0.24818401937046,0.00357142857142857,24,15,120.58630798571
"97","Tars",0.24818401937046,0.00357142857142857,24,6,57.6307803975687
"98","Tdrp",0.24818401937046,0.00357142857142857,24,12,74.4914691556878
"99","Hoxc5",0.24818401937046,0.00357142857142857,24,18,136.855036384583
"100","Ddx41",0.24818401937046,0.00357142857142857,24,15,119.793104405147
"101","Rfx5",0.24818401937046,0.00357142857142857,24,6,121.649263012929
"102","Arid5b",0.24818401937046,0.00357142857142857,24,6,124.06244000202
"103","Rcor1",0.24818401937046,0.00357142857142857,24,6,90.0983774968361
"104","Alpl",0.24818401937046,0.00357142857142857,24,15,111.935680497854
"105","Sprtn",0.24818401937046,0.00357142857142857,24,6,98.7201130337852
"106","Tsc1",0.24818401937046,0.00357142857142857,24,6,113.691122720823
"107","Hdgfl3",0.24818401937046,0.00357142857142857,24,9,63.8605704544866
"108","Crkl",0.24818401937046,0.00357142857142857,24,6,82.0677449086353
"109","Stard5",0.24818401937046,0.00357142857142857,24,18,111.237925291055
"110","Taf6l",0.24818401937046,0.00357142857142857,24,21,72.3218045270719
"111","Rsf1",0.24818401937046,0.00357142857142857,24,9,66.1312547684639
"112","Dctpp1",0.24818401937046,0.00357142857142857,24,18,61.3891620447492
"113","Gatad2b",0.24818401937046,0.00357142857142857,24,6,72.5483886981592
"114","Nagk",0.24818401937046,0.00357142857142857,24,15,56.707891155954
"115","Rcl1",0.24818401937046,0.00357142857142857,24,12,84.0053475243589
"116","Tmed4",0.24818401937046,0.00357142857142857,24,15,61.6417608793423
"117","Sox17",0.24818401937046,0.00357142857142857,24,12,86.1855069313539
"118","Nsun5",0.24818401937046,0.00357142857142857,24,18,63.4418391916255
"119","Dus2",0.24818401937046,0.00357142857142857,24,21,55.8918923260234
"120","Btbd9",0.24818401937046,0.00357142857142857,24,6,54.1497570639627
"121","Mfsd14b",0.24818401937046,0.00357142857142857,24,9,57.4368171595116
"122","Camta1",0.24818401937046,0.00357142857142857,24,0,51.6311199426368
"123","Cdc25a",0.24818401937046,0.00357142857142857,24,9,45.522735793981
"124","Smim12",0.24818401937046,0.00357142857142857,24,21,46.4972391314289
"125","Fubp3",0.24818401937046,0.00357142857142857,24,6,40.4936999512005
"126","Cys1",0.24818401937046,0.00357142857142857,24,18,47.3307484063012
"127","Cchcr1",0.24818401937046,0.00357142857142857,24,6,43.5813431922212
"128","Kmt5b",0.24818401937046,0.00357142857142857,24,9,54.4186466049437
"129","E2f5",0.24818401937046,0.00357142857142857,24,9,43.0351442791629
"130","Smc5",0.24818401937046,0.00357142857142857,24,6,67.1079591217943
"131","Cdc23",0.24818401937046,0.00357142857142857,24,3,48.6112481269791
"132","Trappc5",0.24818401937046,0.00357142857142857,24,18,71.8748054907574
"133","Birc2",0.24818401937046,0.00357142857142857,24,18,60.7582612047111
"134","Uggt1",0.24818401937046,0.00357142857142857,24,0,123.958691313418
"135","Kif13b",0.24818401937046,0.00357142857142857,24,6,48.0220784441521
"136","Rlf",0.24818401937046,0.00357142857142857,24,9,29.2097440666256
"137","Sco2",0.24818401937046,0.00357142857142857,24,15,40.1499278174362
"138","Nfxl1",0.24818401937046,0.00357142857142857,24,6,27.480187422262
"139","Pde1b",0.24818401937046,0.00357142857142857,24,6,28.8989393088075
"140","Stac",0.24818401937046,0.00357142857142857,24,18,15.3682615353389
"141","Zfp52",0.24818401937046,0.00357142857142857,24,9,28.2141167608672
"142","H2-Q5",0.24818401937046,0.00357142857142857,24,9,51.6840455686695
"143","Fchsd2",0.24818401937046,0.00357142857142857,24,6,60.7735677736767
"144","Bclaf3",0.24818401937046,0.00357142857142857,24,12,23.0290346451323
"145","Trip11",0.24818401937046,0.00357142857142857,24,6,38.2639209973896
"146","Kif3c",0.24818401937046,0.00357142857142857,24,3,41.2567048872678
"147","Nup107",0.24818401937046,0.00357142857142857,24,6,22.2155353918487
"148","Emsy",0.24818401937046,0.00357142857142857,24,3,29.794290907813
"149","Rp2",0.24818401937046,0.00357142857142857,24,6,37.3272655734442
"150","Aste1",0.24818401937046,0.00357142857142857,24,15,18.0844828768233
"151","Gm15411",0.24818401937046,0.00357142857142857,24,15,40.9295301429005
"152","Zfp423",0.24818401937046,0.00357142857142857,24,21,65.4824903146377
"153","Senp5",0.24818401937046,0.00357142857142857,24,6,37.895592187696
"154","Sdad1",0.24818401937046,0.00357142857142857,24,6,40.9059060687916
"155","Zfp354b",0.24818401937046,0.00357142857142857,24,3,17.0869174649728
"156","Ccdc88a",0.24818401937046,0.00357142857142857,24,6,70.9299136813188
"157","Fbxo5",0.24818401937046,0.00357142857142857,24,15,12.4300753252838
"158","Ammecr1",0.24818401937046,0.00357142857142857,24,3,15.5016594676214
"159","H2bc6",0.24818401937046,0.00357142857142857,24,0,15.1782011832578
"160","Matcap1",0.24818401937046,0.00357142857142857,24,0,13.0359943513502
"161","Cidea",0.292078267477204,0.015625,24,15,9824.56476537772
"162","Pdk4",0.292078267477204,0.015625,24,9,13493.7186442215
"163","Fmo1",0.292078267477204,0.015625,24,18,5498.78687529577
"164","Suclg1",0.292078267477204,0.015625,24,15,3129.01185445367
"165","Etfb",0.292078267477204,0.015625,24,15,4320.42047755657
"166","Col4a2",0.292078267477204,0.015625,24,6,2000.2052444838
"167","Tef",0.292078267477204,0.015625,24,15,1984.99938320853
"168","Gm10250",0.292078267477204,0.015625,24,18,1757.08564709993
"169","Cox6c",0.292078267477204,0.015625,24,15,2925.11177916236
"170","Gpat4",0.292078267477204,0.015625,24,12,2394.60925882352
"171","Hsd11b1",0.292078267477204,0.015625,24,18,1059.57628973747
"172","Vim",0.292078267477204,0.015625,24,18,1625.40193318749
"173","Cox7b",0.292078267477204,0.015625,24,18,3334.10379706885
"174","Fus",0.292078267477204,0.015625,24,12,1095.53004858572
"175","Slc25a39",0.292078267477204,0.015625,24,18,1322.71894293865
"176","Mt1",0.292078267477204,0.015625,24,15,1002.52373803371
"177","Npc2",0.292078267477204,0.015625,24,18,933.517228493652
"178","Fxyd1",0.292078267477204,0.015625,24,21,574.465736529834
"179","Coq10a",0.292078267477204,0.015625,24,15,804.873736913694
"180","Anxa2",0.292078267477204,0.015625,24,0,1114.2813226461
"181","Cox17",0.292078267477204,0.015625,24,15,833.091341044704
"182","S1pr1",0.292078267477204,0.015625,24,15,870.61100338851
"183","Cyp2b10",0.292078267477204,0.015625,24,21,699.250296484116
