"","annot","BH.Q","ADJ.P","PER","LAG","AMP"
"1","Dusp15",0.623928571428571,0.000446428571428571,24,0,122.48304342783
"2","Lyrm9",0.623928571428571,0.000446428571428571,24,9,82.024258454447
"3","Frmd6",0.623928571428571,0.000446428571428571,24,12,21.925622633972
"4","Ofd1",0.623928571428571,0.000446428571428571,24,9,23.9636724186488
"5","Meak7",0.623928571428571,0.000446428571428571,24,0,12.9461166820755
"6","Clk2",0.623928571428571,0.000446428571428571,24,0,20.4521643855201
"7","Atp11a",0.924338624338624,0.00357142857142857,24,21,275.904592790313
"8","Hecw1",0.924338624338624,0.00357142857142857,24,0,153.672764712571
"9","Sel1l",0.924338624338624,0.00357142857142857,24,0,255.516296149388
"10","Usp53",0.924338624338624,0.00357142857142857,24,18,129.211583703589
"11","Tmem50b",0.924338624338624,0.00357142857142857,24,3,127.78016882787
"12","Fndc3a",0.924338624338624,0.00357142857142857,24,18,89.8598983794844
"13","Erlin2",0.924338624338624,0.00357142857142857,24,12,110.273241147767
"14","Adam19",0.924338624338624,0.00357142857142857,24,0,62.4625212571512
"15","Zfp36l1",0.924338624338624,0.00357142857142857,24,0,69.9418719510279
"16","Apbb2",0.924338624338624,0.00357142857142857,24,0,65.7490510819605
"17","Tmem18",0.924338624338624,0.00357142857142857,24,12,52.8551815737801
"18","Tet2",0.924338624338624,0.00357142857142857,24,9,57.4207930591975
"19","Cdon",0.924338624338624,0.00357142857142857,24,12,35.3682621788821
"20","Fam204a",0.924338624338624,0.00357142857142857,24,12,57.6264515114496
"21","Sde2",0.924338624338624,0.00357142857142857,24,12,36.4272779348602
"22","Sult1a1",0.924338624338624,0.00357142857142857,24,18,43.4454460215304
"23","Tor1aip2",0.924338624338624,0.00357142857142857,24,12,63.5624694441397
"24","Art3",0.924338624338624,0.00357142857142857,24,0,24.5724056839091
"25","Tpgs2",0.924338624338624,0.00357142857142857,24,0,46.331517480748
"26","Atat1",0.924338624338624,0.00357142857142857,24,3,37.0546573303727
"27","Angptl2",0.924338624338624,0.00357142857142857,24,15,30.0680505502908
"28","Eif4ebp2",0.924338624338624,0.00357142857142857,24,0,25.2187095429829
"29","Edn3",0.924338624338624,0.00357142857142857,24,15,18.4097002408786
"30","Efemp2",0.924338624338624,0.00357142857142857,24,18,24.2786860433569
"31","Gtpbp10",0.924338624338624,0.00357142857142857,24,9,13.0533344423431
"32","1700030K09Rik",0.924338624338624,0.00357142857142857,24,21,12.0175288959211
"33","Trdmt1",0.924338624338624,0.00357142857142857,24,9,10.9314612814037
"34","Cenpq",0.924338624338624,0.00357142857142857,24,3,11.512903282526
"35","Polr2k",0.924338624338624,0.00357142857142857,24,18,8.19452302524544
"36","Calr",1,0.015625,24,0,1253.52816997896
"37","Kcnj10",1,0.015625,24,0,988.999246873937
"38","Tfrc",1,0.015625,24,9,668.340232147776
"39","Tef",1,0.015625,24,15,509.015541586504
"40","Cryab",1,0.015625,24,0,739.101044612879
"41","Timp3",1,0.015625,24,18,446.868407037544
"42","Hnrnpdl",1,0.015625,24,12,554.081375940111
"43","Cnbp",1,0.015625,24,12,294.764930456946
"44","Gpr17",1,0.015625,24,0,220.050192670736
"45","Bicd2",1,0.015625,24,0,265.313465656499
"46","Peg10",1,0.015625,24,3,287.051674985922
"47","Dnm2",1,0.015625,24,21,174.365894841068
"48","Elovl6",1,0.015625,24,0,177.468637675275
"49","Ppp2r2c",1,0.015625,24,21,213.66887931725
"50","Dbp",1,0.015625,24,12,305.666009547821
"51","Mfsd6",1,0.015625,24,0,167.793980358375
"52","St8sia3",1,0.015625,24,3,106.742563275387
"53","Serinc5",1,0.015625,24,9,169.281180797266
"54","Fabp7",1,0.015625,24,9,203.098956080123
"55","Lss",1,0.015625,24,9,118.362900248254
"56","Micall1",1,0.015625,24,0,159.21712064914
"57","Srrt",1,0.015625,24,0,113.259249092536
"58","Kcna6",1,0.015625,24,21,108.209382079998
"59","Uri1",1,0.015625,24,9,102.060256183894
"60","Cracd",1,0.015625,24,0,96.6138809733631
"61","Gm12892",1,0.015625,24,3,120.113045532087
"62","Fryl",1,0.015625,24,0,163.083584087075
"63","Pcdh17",1,0.015625,24,0,107.087685847519
"64","Zranb1",1,0.015625,24,12,78.4759862412358
"65","Ankrd40",1,0.015625,24,0,159.921462892997
"66","Gm15501",1,0.015625,24,15,76.291306283154
"67","Nde1",1,0.015625,24,21,74.5997686188684
"68","Rexo4",1,0.015625,24,0,79.419058879966
"69","Kmt5a",1,0.015625,24,0,79.833000568604
"70","Jak1",1,0.015625,24,0,90.5714429399974
"71","Sall1",1,0.015625,24,0,69.7153467264688
"72","Abcg1",1,0.015625,24,21,74.7433468842183
"73","Slc30a1",1,0.015625,24,9,97.6303050767357
"74","Apln",1,0.015625,24,3,96.9728349695428
"75","Cttnbp2",1,0.015625,24,21,112.160243152709
"76","Atp10a",1,0.015625,24,21,68.5143063345457
"77","Thumpd1",1,0.015625,24,12,39.9215404461951
"78","Zc3h6",1,0.015625,24,9,53.6277273111823
"79","Stxbp4",1,0.015625,24,21,60.6402141301127
"80","Pfkfb2",1,0.015625,24,12,68.0593545191779
"81","Syngap1",1,0.015625,24,0,60.7449228122316
"82","Tmed10",1,0.015625,24,6,77.6391700330853
"83","Mthfd1",1,0.015625,24,15,57.6505535646516
"84","Txnip",1,0.015625,24,12,74.2802419049185
"85","Ppfibp2",1,0.015625,24,0,52.9086829234473
"86","R3hdm1",1,0.015625,24,0,94.448573462101
"87","Acta2",1,0.015625,24,3,39.2331841914544
"88","Ciao1",1,0.015625,24,18,40.6981343412803
"89","Slc35b2",1,0.015625,24,12,50.9960329905107
"90","Ubxn2a",1,0.015625,24,0,86.1553914761855
"91","Arc",1,0.015625,24,0,67.7279303591701
"92","Dennd10",1,0.015625,24,9,42.5381086971032
