"","annot","BH.Q","ADJ.P","PER","LAG","AMP"
"1","Zscan18",0.632001879699248,0.000446428571428571,24,9,49.8216418653889
"2","Slc39a14",0.632001879699248,0.000446428571428571,24,6,43.8329242495495
"3","Mettl22",0.632001879699248,0.000446428571428571,24,12,17.5980015653474
"4","Tcf25",0.632001879699248,0.00357142857142857,24,12,679.112621770651
"5","Dbp",0.632001879699248,0.00357142857142857,24,12,405.772897579935
"6","Baz1b",0.632001879699248,0.00357142857142857,24,21,553.284483557715
"7","Tspyl4",0.632001879699248,0.00357142857142857,24,18,320.75317377838
"8","Adamts18",0.632001879699248,0.00357142857142857,24,9,148.759768222351
"9","Efnb3",0.632001879699248,0.00357142857142857,24,12,188.913251354184
"10","Amd1",0.632001879699248,0.00357142857142857,24,21,91.5583656632465
"11","Cbarp",0.632001879699248,0.00357142857142857,24,12,242.760491347132
"12","Plcb1",0.632001879699248,0.00357142857142857,24,0,170.689562969699
"13","Kif13a",0.632001879699248,0.00357142857142857,24,21,86.1916694295442
"14","Trp53i11",0.632001879699248,0.00357142857142857,24,9,119.706415719807
"15","Col4a1",0.632001879699248,0.00357142857142857,24,3,82.1913609257334
"16","Slc7a10",0.632001879699248,0.00357142857142857,24,12,102.892810606012
"17","Mthfd1l",0.632001879699248,0.00357142857142857,24,15,64.205377053448
"18","Eif2ak4",0.632001879699248,0.00357142857142857,24,9,59.1698748214705
"19","Arsg",0.632001879699248,0.00357142857142857,24,9,62.2012570350821
"20","Cdh4",0.632001879699248,0.00357142857142857,24,9,71.0015439262353
"21","Slc1a4",0.632001879699248,0.00357142857142857,24,9,56.8823989319935
"22","Nfyc-ps",0.632001879699248,0.00357142857142857,24,9,49.5345897866894
"23","N6amt1",0.632001879699248,0.00357142857142857,24,9,49.0983641122048
"24","Plxnc1",0.632001879699248,0.00357142857142857,24,0,39.7322127943848
"25","Cyp4f13",0.632001879699248,0.00357142857142857,24,9,53.8199958828991
"26","Lrrc1",0.632001879699248,0.00357142857142857,24,21,38.7282556936865
"27","Dcaf6",0.632001879699248,0.00357142857142857,24,21,66.1746297404713
"28","Akap1",0.632001879699248,0.00357142857142857,24,9,44.7303303987728
"29","Nbas",0.632001879699248,0.00357142857142857,24,0,29.3216790572376
"30","Tdrkh",0.632001879699248,0.00357142857142857,24,0,104.117313461099
"31","Pnpo",0.632001879699248,0.00357142857142857,24,12,41.0022183210235
"32","Hlcs",0.632001879699248,0.00357142857142857,24,9,50.4323033257918
"33","Slc4a5",0.632001879699248,0.00357142857142857,24,9,40.5894299059628
"34","Vps39",0.632001879699248,0.00357142857142857,24,9,69.9898339439766
"35","C77080",0.632001879699248,0.00357142857142857,24,12,53.3949911623299
