"","annot","BH.Q","ADJ.P","PER","LAG","AMP"
"1","Nppb",0.187678571428571,0.000446428571428571,24,0,828.982671712181
"2","Dnajb4",0.187678571428571,0.000446428571428571,24,18,420.669740090977
"3","Gpr157",0.187678571428571,0.000446428571428571,24,21,526.485302598131
"4","Gys1",0.187678571428571,0.000446428571428571,24,0,424.036721473082
"5","Ackr3",0.187678571428571,0.000446428571428571,24,21,467.579335220165
"6","Tcp11l2",0.187678571428571,0.000446428571428571,24,9,789.981424983798
"7","Ankrd40",0.187678571428571,0.000446428571428571,24,21,360.200127944138
"8","Bicd2",0.187678571428571,0.000446428571428571,24,0,345.019145316111
"9","Ypel2",0.187678571428571,0.000446428571428571,24,0,445.698817894615
"10","Rabl6",0.187678571428571,0.000446428571428571,24,21,269.010023885065
"11","Maco1",0.187678571428571,0.000446428571428571,24,18,193.822630920194
"12","Pttg1ip",0.187678571428571,0.000446428571428571,24,0,177.595011411698
"13","Ubac1",0.187678571428571,0.000446428571428571,24,21,193.33169099512
"14","Mical3",0.187678571428571,0.000446428571428571,24,0,290.463826018697
"15","Scd4",0.187678571428571,0.000446428571428571,24,9,176.219610176934
"16","Inmt",0.187678571428571,0.000446428571428571,24,15,137.892666162766
"17","Ephx1",0.187678571428571,0.000446428571428571,24,15,138.421556726692
"18","Cln5",0.187678571428571,0.000446428571428571,24,21,126.360938166965
"19","Rhobtb2",0.187678571428571,0.000446428571428571,24,21,116.265933340056
"20","Zfp651",0.187678571428571,0.000446428571428571,24,0,106.242456484926
"21","Slc25a22",0.187678571428571,0.000446428571428571,24,9,157.838984818444
"22","Ints3",0.187678571428571,0.000446428571428571,24,0,109.745331355596
"23","Pik3c3",0.187678571428571,0.000446428571428571,24,9,59.9896873605318
"24","Dcaf13",0.187678571428571,0.000446428571428571,24,9,38.4164012435111
"25","Mllt10",0.187678571428571,0.000446428571428571,24,12,41.0835014834184
"26","Eif1ad",0.187678571428571,0.000446428571428571,24,0,39.6655013699271
"27","Zfp810",0.187678571428571,0.000446428571428571,24,9,26.136389334132
"28","Neurl3",0.187678571428571,0.000446428571428571,24,6,23.3702702522727
"29","Slc16a13",0.187678571428571,0.000446428571428571,24,6,22.144232834504
"30","Gpcpd1",0.268112244897959,0.00357142857142857,24,15,3251.82672462043
"31","Psme4",0.268112244897959,0.00357142857142857,24,18,1903.96827504415
"32","Mylk4",0.268112244897959,0.00357142857142857,24,15,2383.58927402195
"33","Mbnl2",0.268112244897959,0.00357142857142857,24,18,952.184697974463
"34","Nudt4",0.268112244897959,0.00357142857142857,24,18,883.398609898876
"35","Per3",0.268112244897959,0.00357142857142857,24,15,866.532936877881
"36","Ucp3",0.268112244897959,0.00357142857142857,24,9,886.917094162593
"37","Fmo2",0.268112244897959,0.00357142857142857,24,18,808.76182718199
"38","Slc16a1",0.268112244897959,0.00357142857142857,24,18,1171.34239036899
"39","Slc6a8",0.268112244897959,0.00357142857142857,24,0,816.854772818623
"40","Daam1",0.268112244897959,0.00357142857142857,24,21,600.834139467266
"41","Wnk2",0.268112244897959,0.00357142857142857,24,21,458.946748531315
"42","Hlf",0.268112244897959,0.00357142857142857,24,15,436.868263889927
"43","Zfp36l1",0.268112244897959,0.00357142857142857,24,0,373.577005494249
"44","Gm12966",0.268112244897959,0.00357142857142857,24,9,305.465061303558
"45","Slc30a9",0.268112244897959,0.00357142857142857,24,18,314.962367712366
"46","Cavin4",0.268112244897959,0.00357142857142857,24,3,290.435572915539
"47","Susd6",0.268112244897959,0.00357142857142857,24,21,287.197563870801
"48","Fbn1",0.268112244897959,0.00357142857142857,24,6,518.173110070824
"49","Ak3",0.268112244897959,0.00357142857142857,24,21,349.069815554667
"50","Rhoq",0.268112244897959,0.00357142857142857,24,18,273.741152779645
"51","Kank2",0.268112244897959,0.00357142857142857,24,21,297.940600503752
"52","Trp53i11",0.268112244897959,0.00357142857142857,24,3,290.146930752433
"53","Me1",0.268112244897959,0.00357142857142857,24,15,253.7227560908
"54","Mef2c",0.268112244897959,0.00357142857142857,24,15,298.846048069474
"55","Ide",0.268112244897959,0.00357142857142857,24,15,226.00378074172
"56","Tie1",0.268112244897959,0.00357142857142857,24,3,236.879788241273
"57","Dync1li1",0.268112244897959,0.00357142857142857,24,0,281.866599899066
"58","Myocd",0.268112244897959,0.00357142857142857,24,12,170.759138281921
"59","Pcbp1",0.268112244897959,0.00357142857142857,24,21,229.514096122167
"60","Mapk8ip3",0.268112244897959,0.00357142857142857,24,0,433.462174461786
"61","Cldn5",0.268112244897959,0.00357142857142857,24,3,208.865595911445
"62","Cisd2",0.268112244897959,0.00357142857142857,24,15,260.592206002684
"63","Rbm5",0.268112244897959,0.00357142857142857,24,18,113.319149360925
"64","Ppat",0.268112244897959,0.00357142857142857,24,12,212.282808742641
"65","Scn4b",0.268112244897959,0.00357142857142857,24,12,238.439363618014
"66","Naa60",0.268112244897959,0.00357142857142857,24,21,229.132100812896
"67","Fbln1",0.268112244897959,0.00357142857142857,24,0,156.84982736912
"68","Slc16a10",0.268112244897959,0.00357142857142857,24,21,147.758024577568
"69","Lyve1",0.268112244897959,0.00357142857142857,24,18,126.233929098878
"70","Hdac7",0.268112244897959,0.00357142857142857,24,0,228.820782742263
"71","Tmem184b",0.268112244897959,0.00357142857142857,24,0,201.83293969439
"72","Arhgap10",0.268112244897959,0.00357142857142857,24,21,141.842864404621
"73","Hnrnpul2",0.268112244897959,0.00357142857142857,24,18,250.117690982228
"74","Fam161b",0.268112244897959,0.00357142857142857,24,21,142.394996561341
"75","Nr3c2",0.268112244897959,0.00357142857142857,24,12,125.167703759976
"76","Thbs2",0.268112244897959,0.00357142857142857,24,12,154.936630762119
"77","Casz1",0.268112244897959,0.00357142857142857,24,0,128.043509960835
"78","Crk",0.268112244897959,0.00357142857142857,24,21,133.251115282421
"79","Plekho1",0.268112244897959,0.00357142857142857,24,21,120.935004151863
"80","Arhgap24",0.268112244897959,0.00357142857142857,24,3,132.500167909765
"81","Stk35",0.268112244897959,0.00357142857142857,24,15,121.830229189161
"82","Ddit3",0.268112244897959,0.00357142857142857,24,18,117.245851985702
"83","Miga2",0.268112244897959,0.00357142857142857,24,0,318.855418272273
"84","Dcaf8",0.268112244897959,0.00357142857142857,24,15,263.15189294863
"85","Gga3",0.268112244897959,0.00357142857142857,24,0,86.7390566799569
"86","Gfm1",0.268112244897959,0.00357142857142857,24,21,133.7670663972
"87","Strap",0.268112244897959,0.00357142857142857,24,21,99.8641533730043
"88","Gadd45a",0.268112244897959,0.00357142857142857,24,9,101.08077650793
"89","Zc3h6",0.268112244897959,0.00357142857142857,24,9,80.6835440702816
"90","Gm10167",0.268112244897959,0.00357142857142857,24,12,65.9702143989907
"91","Cmtm6",0.268112244897959,0.00357142857142857,24,0,172.767178957247
"92","Ccnk",0.268112244897959,0.00357142857142857,24,21,79.7558709303611
"93","Mia2",0.268112244897959,0.00357142857142857,24,18,141.864987662779
"94","Ccbe1",0.268112244897959,0.00357142857142857,24,15,82.9472011900739
"95","Plpp1",0.268112244897959,0.00357142857142857,24,6,119.117920443973
"96","Npas2",0.268112244897959,0.00357142857142857,24,3,82.0047291201909
"97","Cys1",0.268112244897959,0.00357142857142857,24,18,86.5188395506182
"98","Vwa1",0.268112244897959,0.00357142857142857,24,0,78.6581237600669
"99","Slc25a19",0.268112244897959,0.00357142857142857,24,0,116.403031286723
"100","Gstm2",0.268112244897959,0.00357142857142857,24,3,69.9624348526206
"101","Cx3cl1",0.268112244897959,0.00357142857142857,24,6,65.1653045605347
"102","N4bp1",0.268112244897959,0.00357142857142857,24,0,104.913969850447
"103","Mrm3",0.268112244897959,0.00357142857142857,24,21,60.455948073206
"104","Nono",0.268112244897959,0.00357142857142857,24,18,68.7339761332246
"105","Ifit2",0.268112244897959,0.00357142857142857,24,12,55.3973538437906
"106","Adamts10",0.268112244897959,0.00357142857142857,24,21,91.5975657995803
"107","Exd2",0.268112244897959,0.00357142857142857,24,0,90.2415748313502
"108","Relb",0.268112244897959,0.00357142857142857,24,6,59.2131809447188
"109","Paqr7",0.268112244897959,0.00357142857142857,24,18,91.2321146202304
"110","Pdcd4",0.268112244897959,0.00357142857142857,24,9,75.2681484883906
"111","Prkaa1",0.268112244897959,0.00357142857142857,24,9,63.6153248041823
"112","Bmp6",0.268112244897959,0.00357142857142857,24,18,98.7200834611903
"113","Ythdf1",0.268112244897959,0.00357142857142857,24,21,71.3607433985082
"114","Mex3c",0.268112244897959,0.00357142857142857,24,0,52.3105570670098
"115","Tjap1",0.268112244897959,0.00357142857142857,24,0,92.4051721025332
"116","Plxdc1",0.268112244897959,0.00357142857142857,24,3,47.446754132441
"117","Lsm11",0.268112244897959,0.00357142857142857,24,3,48.5643620678585
"118","Wdcp",0.268112244897959,0.00357142857142857,24,0,49.1397203426378
"119","H2ac25",0.268112244897959,0.00357142857142857,24,21,58.0412319307663
"120","Smarcal1",0.268112244897959,0.00357142857142857,24,3,53.8478341296155
"121","Chm",0.268112244897959,0.00357142857142857,24,15,52.2844010152294
"122","Itgbl1",0.268112244897959,0.00357142857142857,24,18,42.3893576036582
"123","Fam110b",0.268112244897959,0.00357142857142857,24,0,40.2311437042134
"124","Pla2r1",0.268112244897959,0.00357142857142857,24,12,43.4746698088533
"125","Lgals8",0.268112244897959,0.00357142857142857,24,12,84.5647823950929
"126","Pgam1-ps2",0.268112244897959,0.00357142857142857,24,21,46.3414399410089
"127","Serinc5",0.268112244897959,0.00357142857142857,24,6,86.8817232344075
