"","annot","BH.Q","ADJ.P","PER","LAG","AMP"
"1","Zfr",0.939757412398922,0.000446428571428571,24,3,436.182756254552
"2","Dbp",0.939757412398922,0.000446428571428571,24,12,360.625899068091
"3","Dnajc6",0.939757412398922,0.00357142857142857,24,0,298.601483853253
"4","Opalin",0.939757412398922,0.00357142857142857,24,9,171.454474256772
"5","Khdrbs3",0.939757412398922,0.00357142857142857,24,0,148.080157708664
"6","Grm7",0.939757412398922,0.00357142857142857,24,3,120.457645570763
"7","Snapin",0.939757412398922,0.00357142857142857,24,9,85.72597584853
"8","Rnf6",0.939757412398922,0.00357142857142857,24,21,86.5168282129804
"9","Npy",0.939757412398922,0.00357142857142857,24,9,92.4645787611047
"10","Zhx3",0.939757412398922,0.00357142857142857,24,21,129.230288566148
"11","Rnf150",0.939757412398922,0.00357142857142857,24,0,93.0259689084091
"12","Hnrnpab",0.939757412398922,0.00357142857142857,24,9,79.8286236473059
"13","Itprid2",0.939757412398922,0.00357142857142857,24,18,54.8131146776869
"14","Ncam2",0.939757412398922,0.00357142857142857,24,0,78.4442986458299
"15","Lsm14b",0.939757412398922,0.00357142857142857,24,18,44.2034491598575
"16","Slc39a11",0.939757412398922,0.00357142857142857,24,12,25.177242000595
"17","Psmb3",0.939757412398922,0.00357142857142857,24,15,42.8568947234718
"18","Ddx10",0.939757412398922,0.00357142857142857,24,9,32.4204512393844
"19","C2cd5",0.939757412398922,0.00357142857142857,24,21,53.6409319358988
"20","Timmdc1",0.939757412398922,0.00357142857142857,24,21,23.067943380865
"21","Mecr",0.939757412398922,0.00357142857142857,24,9,21.6251122204314
"22","Vmac",0.939757412398922,0.00357142857142857,24,9,30.6558142183451
"23","Sgk3",0.939757412398922,0.00357142857142857,24,18,25.0663536511057
"24","Tmem192",0.939757412398922,0.00357142857142857,24,9,43.2432261876777
"25","Pdpn",0.939757412398922,0.00357142857142857,24,9,20.3205811562214
"26","Prdm16os",0.939757412398922,0.00357142857142857,24,0,20.7126762965117
"27","Paqr9",0.939757412398922,0.00357142857142857,24,0,14.4736688277148
"28","Gstt3",0.939757412398922,0.00357142857142857,24,15,9.72020724965899
"29","Sox18",0.939757412398922,0.00357142857142857,24,3,9.53233365502482
"30","Gm12445",0.939757412398922,0.00357142857142857,24,3,16.711003785841
"31","Spin2c",0.939757412398922,0.00357142857142857,24,15,8.11198656271405
"32","Pth2r",0.939757412398922,0.00357142857142857,24,0,9.55294739186386
"33","BC028528",0.939757412398922,0.00357142857142857,24,15,7.22299381287865
