"","annot","BH.Q","ADJ.P","PER","LAG","AMP"
"1","Mrpl15",0.00473215452758628,0.00155574904528876,24,15,3.03562998044576
"2","Lypla1",0.354965456450224,0.238646943181387,24,15,9.62770342913686
"3","Tcea1",0.771688466187376,0.591749106733483,24,21,0.781479208012837
"4","Atp6v1h",0.87943399418396,0.694726468615962,24,8,1.55475753766733
"5","Rb1cc1",0.958849833072201,0.771847400989967,12,9,1.88402916943855
"6","Pcmtd1",1,1,18,8,3.33206274591554
"7","Adhfe1",0.0525617247656457,0.025402205174996,24,14,4.41439184273936
"8","Vcpip1",1,1,24,2,2.3692224937988
"9","Cops5",0.025917869110686,0.0111703460740655,24,8,3.11959594258101
"10","Arfgef1",1,1,12,11,3.49420849465019
"11","Ncoa2",0.504069867644604,0.358985034329837,24,3,4.62171281224996
"12","Tram1",0.672972658170921,0.502493943649269,12,2,3.93006066944693
"13","Lactb2",0.480495791337686,0.339003888787755,24,2,14.5036783666316
"14","Rpl7",1,1,12,0,7.54515528121841
"15","Rdh10",0.843764183676699,0.658772593470684,24,15,1.16165623981709
"16","Tmem70",0.999780267583309,0.813151760711243,18,3,1.34932918288941
"17","Gsta3",0.808033325739222,0.624468103861045,24,18,86.9572275781048
"18","Fam135a",2.98928229650071e-08,1.61444307483536e-09,24,22,4.40051995317866
"19","Lmbrd1",1.69149837003095e-05,2.29109937818166e-06,24,12,4.29209868918364
"20","Phf3",0.0960345209781518,0.0513926701419728,24,16,3.74527529118371
"21","Ptp4a1",9.11571928085419e-06,1.09404260550329e-06,24,12,10.6440893074212
"22","Dst",2.08388319972309e-05,2.91636461512897e-06,24,15,31.4913523925686
"23","Fam168b",0.53055974794185,0.380010861041933,24,22,1.47909947691881
"24","Hs6st1",9.11571928085419e-06,1.09404260550329e-06,24,11,26.3594563606514
"25","Uggt1",0.00188226181150779,0.00052643627604322,24,20,6.96468240132874
"26","Kansl3",0.00203897835635254,0.000577695968087882,24,10,6.05716650787678
"27","Cox5b",0.00742968029037291,0.00260819038054669,24,12,8.16606279175613
"28","Actr1b",0.025917869110686,0.0111703460740655,12,10,3.45183770182699
"29","Tmem131",1,1,24,18,3.35600210442471
"30","Inpp4a",0.0315216847572255,0.0140449169760548,12,11,3.66900246720997
"31","Coa5",0.00256263100816523,0.00076121015373275,24,13,3.43638772324261
"32","Mrpl30",1,1,24,14,1.60058631117097
"33","Txndc9",0.414236099271851,0.284887193005437,18,5,1.43785247981233
"34","Eif5b",1,1,16,12,2.3423079980731
"35","Rpl31",1,0.948905090264374,18,1,2.49233531348345
