"","annot","BH.Q","ADJ.P","PER","LAG","AMP"
"1","Selenbp2",0.00061384314554163,0.000139329958909771,24,20,284.681073529902
"2","Serpina4-ps1",0.00997955821040415,0.00367111740797096,24,19,83.9417326617657
"3","Acta1",0.0180437864026832,0.0072939431222633,24,13,0.389006923415015
"4","Aqp8",0.00151973916685405,0.000404424142928933,24,2,41.4758683556001
"5","Saa1",0.769381436278674,0.610333432186075,12,11,24.6720540735171
"6","Myh1",0.21045975948625,0.131585798058162,24,14,0.310984676944201
"7","Ppp1r3c",1.2025484965557e-12,1.49488072776261e-14,24,23,71.231283114777
"8","Rgs16",1.26308597622754e-10,3.02396274234953e-12,24,8,97.2532568768522
"9","Atp2a1",0.266471125778578,0.173721507413659,24,13,0.293690978976777
"10","Mfsd2a",8.83875056890451e-10,2.92997256427774e-11,24,12,50.3372250432637
"11","Hba-a1",0.0106491877802015,0.00398609100612515,24,18,30.1437940498443
"12","Cldn1",1.81626649098521e-15,9.19840303905954e-18,24,23,48.6513053156197
"13","Neb",0.029136601869852,0.0130122024925214,24,10,8.87592481792238
"14","Ttn",0.52515207968995,0.394105842492918,24,13,0.202602492321398
"15","Chka",4.50083379979423e-11,9.11771119663655e-13,24,22,57.8939976056549
"16","Saa2",0.805760222576146,0.643643640041259,12,11,13.0432937654877
"17","C4a",0.0310061492968847,0.0140327093733138,24,16,28.1721939682056
"18","Myh2",0.754604823718863,0.594442381852198,24,14,0.0952234009935188
"19","Mcm10",1.29881725625055e-05,1.4710361189578e-06,24,10,25.5718299986758
"20","Tnnt3",0.686027190240385,0.533787270490907,24,13,0.210158738437943
"21","Vnn1",0.000519244663268824,0.000114033013065943,24,10,17.7865450343089
"22","Cav1",0.700867125722596,0.54823814300308,16,6,9.57220438322931
"23","Nr1d1",1.70928021542533e-12,2.36088427544935e-14,24,7,62.251475468574
"24","Ddc",1.70928021542533e-12,2.36088427544935e-14,24,22,28.7121948898123
"25","Slc30a10",1.2025484965557e-12,1.49488072776261e-14,24,23,30.0260628578398
"26","Noct",0.000368013020771026,7.5906921411335e-05,24,12,30.3985097732669
"27","Dusp1",0.000477388660001971,0.000103082542145914,22,18,21.0454092242825
"28","Avpr1a",1.49689664465724e-14,8.27014720805103e-17,24,23,33.533207286725
"29","Tpm1",1,1,12,0,3.8313497421991
"30","Crat",1,1,16,4,6.10670997157481
"31","Mup-ps16",0.000260956231814624,5.01007130141336e-05,24,7,19.1034078615373
"32","Mb",0.319165782307319,0.21468748064042,24,13,0.204986705651445
"33","Nr1d2",7.37226916377863e-18,5.14058672816019e-21,24,9,45.1270742452848
"34","Mup1",0.377652715861544,0.263939605284449,16,9,12.5826453963511
"35","Tpm2",0.00121475794946598,0.000304248768190375,24,10,6.16607254887649
"36","Per2",6.73802877144376e-13,7.44533565905388e-15,24,14,40.6041257670382
"37","Cd36",5.87063821450802e-05,8.70324818172921e-06,24,9,22.9454439652854
"38","Acnat2",0.00151973916685405,0.000404424142928933,24,0,19.1143528759077
"39","Rdh9",4.80159819077139e-07,3.58130251797866e-08,24,11,18.7289476225746
"40","1810055G02Rik",6.20787067011152e-10,2.02927632402356e-11,24,12,17.1210655630933
"41","Ugt1a9",1,1,16,12,5.87436879877007
"42","Tjp3",3.66753836280798e-14,2.36397500365155e-16,24,23,25.9568146503807
"43","Gsn",1,1,16,4,7.76591845356113
"44","Pim3",3.79049569924075e-07,2.68755219927751e-08,24,11,15.0509746012955
"45","Scd2",0.00389564922392177,0.00120887089176946,24,22,27.517316502549
"46","Fkbp5",4.80159819077139e-07,3.58130251797866e-08,24,14,18.4999717000262
"47","Denn2b",4.58219527685536e-13,4.64126593419972e-15,24,23,27.6136168735383
"48","Rcan1",0.000368013020771026,7.5906921411335e-05,24,14,16.4087803077803
"49","Tfrc",0.00101728308682535,0.000251042235054507,24,17,13.3185010051374
"50","Onecut1",0.0421219569979857,0.0203434313493955,24,14,17.0646388451666
"51","Igfbp5",9.32854025215902e-06,1.01359829627511e-06,24,14,16.6044827876341
"52","Sik1",0.000218120993455171,4.0571308174903e-05,24,17,10.290889706249
"53","Ces1g",1,0.924946209307595,16,7,6.4818657539474
"54","Slc13a3",1,1,16,12,2.63129472193867
"55","Slc49a4",1.80798658888619e-05,2.12263618860948e-06,24,0,8.69555814009285
"56","Paxx",6.4519958259721e-11,1.3664447881893e-12,24,23,25.3811936279762
"57","Fzd4",1.9613477591328e-10,5.41808773241105e-12,24,12,12.9101767332537
"58","Cry2",2.27727127306364e-09,8.5974329830211e-11,24,12,9.88915403426903
"59","Epha2",0.0211828963667356,0.00886521767834377,24,19,5.69510169722876
"60","Tenm3",2.68043226472449e-05,3.43075584527352e-06,24,6,6.44896391795618
"61","Cyp2a4",0.00288783368145149,0.000845608757552093,24,14,22.6131059360342
"62","Zbtb16",0.456050172288674,0.332589075923232,12,11,21.8489222818333
"63","Acss3",0.0444249747109855,0.0218852315565168,24,9,11.5389573826482
"64","Il1r1",0.0373488094241697,0.0175566917228717,12,11,9.60093122519554
"65","Ppl",0.000937358497659908,0.000227866154127271,12,0,11.4008988809357
"66","Hopx",0.0113896832099765,0.00432619182699385,12,11,5.18207529664738
"67","Slc35d2",1,0.924946209307595,18,0,5.78469330590127
"68","Mup19",0.238383406543155,0.153654129447706,18,1,5.27661520018296
"69","Depp1",0.0373488094241697,0.0175566917228717,12,5,23.645857193308
"70","Cyp4a12b",7.03718343364183e-05,1.0918650170982e-05,24,19,16.1461498562956
"71","Tnxb",0.226496881205441,0.144428259884685,22,15,7.17087563947625
"72","Eif4ebp3",0.000150675962276541,2.64307281893932e-05,24,17,17.8521077363598
"73","Cited2",0.000310387565737555,6.17345434616131e-05,12,5,8.52914356244557
"74","Per1",1.75437775605816e-07,1.11465990025794e-08,24,12,27.5520909406661
"75","Asns",0.394871954686243,0.279791868444811,24,22,12.7622128258153
"76","Il6ra",2.39710073021277e-06,2.15209319701423e-07,24,14,13.1354045020219
"77","B3galt1",0.00864838463670233,0.00310975524920098,24,18,12.5051469309391
"78","Efna1",3.62205825150168e-05,4.88610988807547e-06,24,0,11.5180413899245
"79","Septin11",1.98595319906122e-05,2.39557890494493e-06,24,23,6.79236954947697
"80","Vnn3",0.974710824173116,0.7934110207818,12,5,5.12364672282049
"81","Slc3a1",1.80798658888619e-05,2.12263618860948e-06,24,0,9.70821140175994
"82","Nxpe2",1,1,24,2,3.61548366313633
"83","Trim2",4.1530348213059e-14,3.05932583521613e-16,24,23,18.2489734823127
"84","Dbp",1.50394757848383e-15,6.92425220296424e-18,24,10,40.5491425874581
"85","Nr0b2",1,1,22,6,5.01253142421387
"86","Slc17a8",0.117569639812925,0.0667418811645197,12,5,6.54177735644171
"87","Egr1",1,1,22,3,9.20646531011207
"88","Mup18",0.340878721748585,0.234628770264335,24,23,9.39451305237597
"89","Smagp",1.0582467545535e-15,3.89777810148621e-18,24,1,18.0763138358462
"90","Nfil3",1.70184114203341e-10,4.46615769318159e-12,24,22,19.6426087297536
"91","Fnip2",1.25330897255284e-09,4.21231836999803e-11,24,9,12.0970018140807
"92","Lpl",0.502608387405487,0.372559624181784,12,11,5.93829784885814
"93","Zfp385a",4.23963989428684e-07,3.10360379001661e-08,24,0,10.4399477531472
"94","Mical2",2.34506141327697e-14,1.40358187719156e-16,24,22,15.4906490465723
"95","Rai14",3.84433925985312e-11,7.433805198611e-13,24,22,9.40705919643763
"96","Nrep",1.10099423003192e-10,2.48382676204254e-12,24,14,24.104560138378
"97","Gm10319",3.40670387118738e-06,3.19966661934727e-07,24,1,10.1075551650293
"98","Mt1",0.131651918466152,0.0761908202172895,12,11,7.73797647998533
"99","Rgs5",1,1,12,9,3.02484499518513
"100","Tnfaip2",5.39086382578708e-11,1.11689167661335e-12,24,23,14.964603309724
"101","Pfkfb1",1.30751962481431e-06,1.09561957512065e-07,24,17,10.462317296891
"102","Fgfrl1",7.96907162529773e-09,3.41217155226837e-10,24,9,13.4113430215901
