"","annot","BH.Q","ADJ.P","PER","LAG","AMP"
"1","Gatm",0.202693965517241,0.000446428571428571,24,3,4178.40649806653
"2","Hnf4a",0.202693965517241,0.000446428571428571,24,18,1092.65030706908
"3","Tnfaip8",0.202693965517241,0.000446428571428571,24,15,1487.28889494006
"4","Dnaja1",0.202693965517241,0.000446428571428571,24,18,861.957232739423
"5","Hyou1",0.202693965517241,0.000446428571428571,24,21,672.14057360002
"6","Car14",0.202693965517241,0.000446428571428571,24,12,445.130140700079
"7","Tax1bp1",0.202693965517241,0.000446428571428571,24,15,525.827817260035
"8","Hectd1",0.202693965517241,0.000446428571428571,24,12,761.216790819088
"9","Glg1",0.202693965517241,0.000446428571428571,24,12,393.571151917036
"10","Aldoa",0.202693965517241,0.000446428571428571,24,21,501.695826368192
"11","Gm15542",0.202693965517241,0.000446428571428571,24,18,476.080673902093
"12","Ypel2",0.202693965517241,0.000446428571428571,24,0,322.501701903169
"13","Galnt3",0.202693965517241,0.000446428571428571,24,18,176.949715651437
"14","Kbtbd11",0.202693965517241,0.000446428571428571,24,21,169.73176549044
"15","Foxk2",0.202693965517241,0.000446428571428571,24,21,122.215138869557
"16","Lamb2",0.202693965517241,0.000446428571428571,24,21,116.825922123477
"17","Jpt2",0.202693965517241,0.000446428571428571,24,0,156.680400977358
"18","5031439G07Rik",0.202693965517241,0.000446428571428571,24,6,109.482946853378
"19","Plod1",0.202693965517241,0.000446428571428571,24,21,57.4502895746216
"20","Sdc3",0.202693965517241,0.000446428571428571,24,21,60.1017272531232
"21","Vsig10",0.202693965517241,0.000446428571428571,24,6,50.9462775745398
"22","Fam204a",0.202693965517241,0.000446428571428571,24,9,50.5610763178775
"23","Rapgef6",0.202693965517241,0.000446428571428571,24,9,39.3019140462062
"24","Tor3a",0.202693965517241,0.000446428571428571,24,9,32.7577958629471
"25","Spag5",0.202693965517241,0.000446428571428571,24,18,34.4032399518117
"26","Asap2",0.202693965517241,0.000446428571428571,24,3,27.5552612753018
"27","Cep70",0.202693965517241,0.000446428571428571,24,6,20.3451110547029
"28","S1pr2",0.202693965517241,0.000446428571428571,24,3,9.03976879951488
"29","Atp1b1",0.285,0.00357142857142857,24,15,6518.24702818489
"30","Hspa5",0.285,0.00357142857142857,24,21,4221.68941241722
"31","Cyp2a5",0.285,0.00357142857142857,24,15,2342.42375538012
"32","Slc4a4",0.285,0.00357142857142857,24,9,2159.5209129473
