"","annot","BH.Q","ADJ.P","PER","LAG","AMP"
"1","Qsox1",0.179568452380952,0.000446428571428571,24,3,1995.21818433401
"2","Dbp",0.179568452380952,0.000446428571428571,24,12,1692.16114128012
"3","Stat3",0.179568452380952,0.000446428571428571,24,3,921.526914867083
"4","Nedd4",0.179568452380952,0.000446428571428571,24,15,953.393168355596
"5","Rdh9",0.179568452380952,0.000446428571428571,24,12,698.102027581577
"6","Gstm4",0.179568452380952,0.000446428571428571,24,6,654.771464237196
"7","Cul4a",0.179568452380952,0.000446428571428571,24,15,483.632035208615
"8","Nfx1",0.179568452380952,0.000446428571428571,24,9,404.185637756649
"9","Sdr9c7",0.179568452380952,0.000446428571428571,24,0,515.779356637081
"10","Vps4b",0.179568452380952,0.000446428571428571,24,9,229.170352734867
"11","Sel1l3",0.179568452380952,0.000446428571428571,24,15,143.679256094871
"12","B3gat3",0.179568452380952,0.000446428571428571,24,3,147.004337694442
"13","Trim12c",0.179568452380952,0.000446428571428571,24,6,122.51238130846
"14","Irgm1",0.179568452380952,0.000446428571428571,24,3,328.168459304601
"15","Trim65",0.179568452380952,0.000446428571428571,24,18,121.95359717357
"16","Pcsk4",0.179568452380952,0.000446428571428571,24,12,169.602047033618
"17","Nelfa",0.179568452380952,0.000446428571428571,24,0,82.2566108513178
"18","Fam89a",0.179568452380952,0.000446428571428571,24,3,88.2536768537823
"19","Thra",0.179568452380952,0.000446428571428571,24,3,85.6057490937881
"20","Msh2",0.179568452380952,0.000446428571428571,24,3,67.7538809405088
"21","Sclt1",0.179568452380952,0.000446428571428571,24,9,64.0167897959869
"22","Tsg101",0.179568452380952,0.000446428571428571,24,15,55.1102071657957
"23","Ap4m1",0.179568452380952,0.000446428571428571,24,6,50.5546268539066
"24","H2bc21",0.179568452380952,0.000446428571428571,24,0,48.1550725622639
"25","Zfhx3",0.179568452380952,0.000446428571428571,24,15,62.3904872590749
"26","Wdsub1",0.179568452380952,0.000446428571428571,24,9,40.2961428867267
"27","Gm12445",0.179568452380952,0.000446428571428571,24,21,30.3432867603822
"28","Sox9",0.179568452380952,0.000446428571428571,24,0,67.1612899145042
"29","G6pdx",0.179568452380952,0.000446428571428571,24,0,60.5116154152557
"30","Ifit3b",0.179568452380952,0.000446428571428571,24,6,17.2345146987879
"31","Gsta3",0.285406811731315,0.00357142857142857,24,21,16829.9089075301
"32","Igfbp4",0.285406811731315,0.00357142857142857,24,15,5881.33412693295
"33","Gys2",0.285406811731315,0.00357142857142857,24,15,3814.58578509334
"34","Ugt2b36",0.285406811731315,0.00357142857142857,24,12,5331.67898165003
"35","Hsp90ab1",0.285406811731315,0.00357142857142857,24,21,6581.80102075358
"36","Stra6l",0.285406811731315,0.00357142857142857,24,3,2661.72892435259
"37","Itih1",0.285406811731315,0.00357142857142857,24,3,3854.72771345858
"38","Atf5",0.285406811731315,0.00357142857142857,24,3,2101.49433902792
"39","Rorc",0.285406811731315,0.00357142857142857,24,21,2874.10113736479
"40","Nr1d2",0.285406811731315,0.00357142857142857,24,12,1947.34520916309
"41","Rdh11",0.285406811731315,0.00357142857142857,24,3,1306.67196662991
"42","Slc30a10",0.285406811731315,0.00357142857142857,24,0,1199.73618606187
"43","Chka",0.285406811731315,0.00357142857142857,24,0,2101.9772978548
"44","Fbxo21",0.285406811731315,0.00357142857142857,24,9,1386.72370715861
"45","Ddc",0.285406811731315,0.00357142857142857,24,0,1603.64608607065
"46","Epas1",0.285406811731315,0.00357142857142857,24,18,1035.45174115975
"47","Lonp2",0.285406811731315,0.00357142857142857,24,6,2220.44465747675
"48","Tns1",0.285406811731315,0.00357142857142857,24,18,1310.71910869418
"49","Mal2",0.285406811731315,0.00357142857142857,24,21,780.229706430856
"50","Nadk",0.285406811731315,0.00357142857142857,24,18,944.873779799317
"51","Ywhag",0.285406811731315,0.00357142857142857,24,18,630.724966185691
"52","Slc45a3",0.285406811731315,0.00357142857142857,24,0,874.292489414312
"53","4833439L19Rik",0.285406811731315,0.00357142857142857,24,18,535.587530806884
"54","Lgalsl",0.285406811731315,0.00357142857142857,24,0,490.995537218941
"55","Hnrnpk",0.285406811731315,0.00357142857142857,24,6,596.710295274824
"56","Slc22a23",0.285406811731315,0.00357142857142857,24,15,505.221729483877
"57","Rnf144b",0.285406811731315,0.00357142857142857,24,0,495.179546216547
"58","Bmal1",0.285406811731315,0.00357142857142857,24,0,580.297259843485
"59","Atf6",0.285406811731315,0.00357142857142857,24,15,590.978436992686
"60","Nfil3",0.285406811731315,0.00357142857142857,24,0,440.122797319154
"61","Slc25a44",0.285406811731315,0.00357142857142857,24,21,449.630672205666
"62","Ahsa1",0.285406811731315,0.00357142857142857,24,21,649.328667627636
"63","Sumo3",0.285406811731315,0.00357142857142857,24,3,447.027665795646
"64","Arsa",0.285406811731315,0.00357142857142857,24,9,403.438679544707
"65","Syt1",0.285406811731315,0.00357142857142857,24,9,342.418294305708
"66","Hapstr1",0.285406811731315,0.00357142857142857,24,9,324.58245431084
