"","annot","BH.Q","ADJ.P","PER","LAG","AMP"
"1","Dbp",0.324201127819549,0.000446428571428571,24,12,1329.00735508174
"2","Gm12183",0.324201127819549,0.000446428571428571,24,18,323.611389470657
"3","Cyb5b",0.324201127819549,0.000446428571428571,24,0,328.944111858706
"4","Mapre2",0.324201127819549,0.000446428571428571,24,18,289.611315067358
"5","Cdkn1a",0.324201127819549,0.000446428571428571,24,3,239.678645051586
"6","Bhlhe41",0.324201127819549,0.000446428571428571,24,12,180.314836216644
"7","Nfil3",0.324201127819549,0.000446428571428571,24,0,99.7360418970816
"8","Ankrd16",0.324201127819549,0.000446428571428571,24,12,96.1256758491522
"9","Gimap3",0.324201127819549,0.000446428571428571,24,9,59.7620918812227
"10","Exoc3",0.324201127819549,0.000446428571428571,24,0,65.7062907268453
"11","Glt8d2",0.324201127819549,0.000446428571428571,24,18,52.1318362913197
"12","Gstm7",0.324201127819549,0.000446428571428571,24,6,25.7936107502634
"13","Iglv1",0.324201127819549,0.000446428571428571,24,6,32.5801353160625
"14","Lmntd1",0.324201127819549,0.000446428571428571,24,9,17.0205954125052
"15","Runx1t1",0.324201127819549,0.000446428571428571,24,0,20.50443239639
"16","Gm11613",0.324201127819549,0.000446428571428571,24,9,10.3896322114374
"17","Fmo2",0.518721804511278,0.00357142857142857,24,18,9579.49326231217
"18","Timp3",0.518721804511278,0.00357142857142857,24,18,4406.278726088
"19","Lmo7",0.518721804511278,0.00357142857142857,24,18,2220.18693445205
"20","Nr1d2",0.518721804511278,0.00357142857142857,24,12,1854.32640917364
"21","Akr1c14",0.518721804511278,0.00357142857142857,24,18,679.096891883319
"22","Tns2",0.518721804511278,0.00357142857142857,24,12,827.917891906179
"23","Ephx1",0.518721804511278,0.00357142857142857,24,12,703.574127059627
"24","Igfbp3",0.518721804511278,0.00357142857142857,24,3,515.077801328052
"25","Capn2",0.518721804511278,0.00357142857142857,24,21,400.683625956599
"26","Acsl5",0.518721804511278,0.00357142857142857,24,0,247.756755813736
"27","Mapk12",0.518721804511278,0.00357142857142857,24,12,260.92388288973
"28","Spon2",0.518721804511278,0.00357142857142857,24,3,278.794890375552
"29","Cmtm6",0.518721804511278,0.00357142857142857,24,3,252.209977168584
"30","Hlf",0.518721804511278,0.00357142857142857,24,15,331.273999727701
"31","Itgb6",0.518721804511278,0.00357142857142857,24,3,216.96719193448
"32","Cry2",0.518721804511278,0.00357142857142857,24,15,215.853957536023
"33","Rhoj",0.518721804511278,0.00357142857142857,24,3,205.707351183517
"34","Mturn",0.518721804511278,0.00357142857142857,24,21,185.288995967269
"35","Tbcel",0.518721804511278,0.00357142857142857,24,9,235.492583741973
"36","Arrdc4",0.518721804511278,0.00357142857142857,24,3,165.563422352548
"37","Glipr2",0.518721804511278,0.00357142857142857,24,3,151.213476952252
"38","Snx1",0.518721804511278,0.00357142857142857,24,0,144.210258423385
"39","Gja1",0.518721804511278,0.00357142857142857,24,3,150.840778581069
"40","F3",0.518721804511278,0.00357142857142857,24,12,122.865537608363
"41","Mir22hg",0.518721804511278,0.00357142857142857,24,12,125.542794292116
"42","Fgf10",0.518721804511278,0.00357142857142857,24,0,67.0656579949338
"43","Yeats2",0.518721804511278,0.00357142857142857,24,18,92.3015117784592
"44","Slc25a20",0.518721804511278,0.00357142857142857,24,6,77.607051032283
"45","Liph",0.518721804511278,0.00357142857142857,24,3,110.333032267228
"46","Ngef",0.518721804511278,0.00357142857142857,24,12,64.2561625370153
"47","Vnn1",0.518721804511278,0.00357142857142857,24,6,63.2286878183116
"48","Flcn",0.518721804511278,0.00357142857142857,24,12,68.8234881269663
"49","Snap29",0.518721804511278,0.00357142857142857,24,0,52.0316747332503
"50","Rhobtb1",0.518721804511278,0.00357142857142857,24,15,49.4191967261529
"51","Snx19",0.518721804511278,0.00357142857142857,24,0,30.729642351715
"52","Slc20a1",0.518721804511278,0.00357142857142857,24,12,38.3877104139983
"53","Cdc42bpa",0.518721804511278,0.00357142857142857,24,18,136.389944330698
"54","Alox5ap",0.518721804511278,0.00357142857142857,24,6,52.3137845358214
"55","Cmtm3",0.518721804511278,0.00357142857142857,24,6,52.1656909828644
"56","Rab3c",0.518721804511278,0.00357142857142857,24,21,48.9694276879625
