"","annot","BH.Q","ADJ.P","PER","LAG","AMP"
"1","Rbm24",0.410347129506008,0.000446428571428571,24,12,800.917582986474
"2","Slc25a36",0.410347129506008,0.000446428571428571,24,0,635.034531550279
"3","Wipf3",0.410347129506008,0.000446428571428571,24,15,175.095588086165
"4","Ppat",0.410347129506008,0.000446428571428571,24,12,278.982727499369
"5","Ly6e",0.410347129506008,0.000446428571428571,24,0,204.21290426798
"6","Rpap2",0.410347129506008,0.000446428571428571,24,12,42.8816132462552
"7","Doc2g",0.410347129506008,0.000446428571428571,24,18,11.2481804272569
"8","Mylk4",0.410347129506008,0.00357142857142857,24,15,46191.3784496052
"9","Asb2",0.410347129506008,0.00357142857142857,24,0,6690.11463738898
"10","Hk2",0.410347129506008,0.00357142857142857,24,15,2864.51604911187
"11","Scd1",0.410347129506008,0.00357142857142857,24,0,2725.83847984203
"12","Pdp1",0.410347129506008,0.00357142857142857,24,12,1095.65852431361
"13","H1f2",0.410347129506008,0.00357142857142857,24,12,935.358443257527
"14","Herpud1",0.410347129506008,0.00357142857142857,24,15,827.191820506862
"15","Nmrk2",0.410347129506008,0.00357142857142857,24,6,1045.84373079457
"16","Pfkfb4",0.410347129506008,0.00357142857142857,24,15,733.646390101727
"17","Cnbp",0.410347129506008,0.00357142857142857,24,12,1109.62601023653
"18","Msrb3",0.410347129506008,0.00357142857142857,24,12,757.079690385488
"19","Zyg11b",0.410347129506008,0.00357142857142857,24,15,677.919113651724
"20","Pnpla3",0.410347129506008,0.00357142857142857,24,0,541.910573425909
"21","Rragd",0.410347129506008,0.00357142857142857,24,9,430.346024660534
"22","Clock",0.410347129506008,0.00357142857142857,24,3,395.107960845738
"23","Rpl3l",0.410347129506008,0.00357142857142857,24,12,924.239458584966
"24","Maco1",0.410347129506008,0.00357142857142857,24,15,380.044413745302
"25","Fasn",0.410347129506008,0.00357142857142857,24,0,424.12551807284
"26","Snw1",0.410347129506008,0.00357142857142857,24,15,295.987725260176
"27","Rhobtb1",0.410347129506008,0.00357142857142857,24,15,398.238817722742
"28","Abcc1",0.410347129506008,0.00357142857142857,24,15,321.817462605214
"29","Snrk",0.410347129506008,0.00357142857142857,24,15,305.755122445152
"30","Ets1",0.410347129506008,0.00357142857142857,24,3,287.310319398606
"31","Cpd",0.410347129506008,0.00357142857142857,24,12,244.937441502044
"32","Grina",0.410347129506008,0.00357142857142857,24,15,217.29493042148
