"","annot","BH.Q","ADJ.P","PER","LAG","AMP"
"1","Hspa4l",1,0.000446428571428571,24,0,122.996264924618
"2","Rsad1",1,0.000446428571428571,24,12,67.233165751673
"3","Per3",1,0.00357142857142857,24,15,1149.16278644769
"4","Sf1",1,0.00357142857142857,24,12,345.002434985594
"5","Dbp",1,0.00357142857142857,24,12,917.46446991915
"6","Klb",1,0.00357142857142857,24,3,224.077638009457
"7","Hectd3",1,0.00357142857142857,24,12,67.3354027525388
"8","Alkal2",1,0.00357142857142857,24,3,154.255674113736
"9","Gm10167",1,0.00357142857142857,24,9,126.023460894637
"10","Trim11",1,0.00357142857142857,24,15,66.5600339288949
"11","Adcy3",1,0.00357142857142857,24,9,109.303357379736
"12","Washc3",1,0.00357142857142857,24,12,56.2694164011102
"13","Rnf8",1,0.00357142857142857,24,0,63.7711301106005
"14","Miip",1,0.00357142857142857,24,12,43.4156779118694
"15","Taf12",1,0.00357142857142857,24,0,31.7908825609236
"16","Pitpnm2",1,0.00357142857142857,24,21,178.511292569633
"17","Zfp952",1,0.00357142857142857,24,3,43.7298957678205
"18","Lrrc4",1,0.00357142857142857,24,12,37.7000282813389
"19","Rnf125",1,0.00357142857142857,24,0,26.0229257399093
"20","Zfp729a",1,0.00357142857142857,24,3,10.3385898821814
"21","Tef",1,0.015625,24,15,1973.24207502266
"22","Zeb2",1,0.015625,24,3,899.394786579448
"23","Fmr1",1,0.015625,24,6,860.51126225018
"24","Hnrnpl",1,0.015625,24,6,378.191966089414
"25","Ndrg1",1,0.015625,24,12,835.987914257431
"26","Ehmt2",1,0.015625,24,12,146.011015055309
"27","Dapk1",1,0.015625,24,3,570.616656119697
"28","Lamb2",1,0.015625,24,12,477.040224738729
"29","Pzp",1,0.015625,24,3,328.755953691725
"30","Clock",1,0.015625,24,3,331.61013772909
"31","Ccni",1,0.015625,24,6,404.208889874577
"32","Hlf",1,0.015625,24,15,315.786053019675
"33","Efr3a",1,0.015625,24,3,304.78833455819
"34","Morc4",1,0.015625,24,3,269.242409640123
"35","Gstt2",1,0.015625,24,12,289.457063753223
"36","Wdr6",1,0.015625,24,12,73.8359856203986
"37","S100a16",1,0.015625,24,3,167.430087688932
"38","Tenm4",1,0.015625,24,6,1164.87301561639
"39","Safb2",1,0.015625,24,15,148.343956919088
"40","Bmal1",1,0.015625,24,0,276.930544690642
"41","Tk2",1,0.015625,24,12,90.7956000652189
