"annot","pVal","phase","peak.shape","period"
"Mrpl15",1.64817811655779e-06,16,14,24
"Lypla1",0.000271593065660425,22,4,24
"Tcea1",0.0100358654811095,24,10,24
"Atp6v1h",0.00409736377313282,12,6,24
"Rb1cc1",0.0915587095994951,8,20,24
"Pcmtd1",0.935390712167094,14,14,24
"Adhfe1",0.000100559703834066,16,12,24
"Vcpip1",0.484558316085816,22,12,24
"Cops5",0.000190538381901187,12,6,24
"Arfgef1",0.887859340128128,12,18,24
"Ncoa2",0.00451534928622959,8,8,24
"Tram1",0.0257505153405368,4,6,24
"Lactb2",0.00111893738035194,6,10,24
"Rpl7",0.0193958724073006,2,8,24
"Rdh10",0.0276292526648962,16,10,24
"Tmem70",0.213520488268696,2,4,24
"Gsta3",0.0137975625925253,20,12,24
"Fam135a",8.57912999601756e-13,24,12,24
"Lmbrd1",4.28820400684984e-10,12,16,24
"Phf3",0.00301210540713714,18,10,24
"Ptp4a1",2.60094709305971e-10,12,18,24
"Dst",6.56827968729454e-09,14,16,24
"Fam168b",0.00263601455373811,22,16,24
"Hs6st1",1.30089130820095e-08,12,14,24
"Uggt1",9.47594013302698e-07,24,10,24
"Kansl3",2.22213441238179e-06,8,20,24
"Cox5b",5.27944879773369e-07,10,16,24
"Actr1b",0.256436189851697,10,20,24
"Tmem131",0.0735573942971023,22,12,24
"Inpp4a",0.0539971121919239,2,18,24
"Coa5",2.06939771632999e-06,16,10,24
"Mrpl30",0.263762938133174,10,20,24
"Txndc9",0.00346763013728178,4,18,24
"Eif5b",0.820938616925714,24,12,24
"Rpl31",0.334813914743923,4,10,24
"Rnf149",1.06142120338985e-06,24,16,24
"Tgfbrap1",0.0183443662225902,16,12,24
"Tpp2",0.0163009362766884,24,10,24
"Col3a1",0.847249897590286,24,20,24
"Slc40a1",0.595986054658185,10,8,24
"Myo1b",1.17512791475441e-11,22,14,24
"Stat1",0.00317115399814431,8,18,24
"Nab1",0.00172154003092626,16,8,24
"Hibch",4.42500731109871e-08,10,18,24
"Sf3b1",5.12878340790952e-08,12,6,24
"Hspd1",3.36250171111915e-06,24,4,24
"Hspe1",1.03568972794529e-10,18,12,24
"Aox1",4.61797311868292e-07,6,12,24
"Aox3",0.00495679181450913,22,20,24
"Bzw1",0.00013728636379861,12,18,24
"Clk1",3.30344060072286e-05,6,12,24
"Ndufb3",0.000194619723515104,10,16,24
"Cflar",0.691866067925408,14,14,24
"Trak2",0.000152432258989135,12,16,24
"Stradb",2.33808731921943e-09,10,10,24
"Als2",5.74527825567649e-17,20,14,24
"Fzd7",0.0061911851113648,24,8,24
"Bmpr2",0.942774087538026,22,14,24
"Nbeal1",0.631568482574335,22,20,24
"Raph1",0.018950627426528,2,4,24
"Ino80d",0.00257606465688739,2,18,24
"Ndufs1",9.79133958384329e-05,12,16,24
"Eef1b2",2.04268450212887e-06,2,4,24
"Idh1",0.811586818988265,4,8,24
"Pikfyve",0.00217382225983024,24,10,24
"Acadl",4.58505492577319e-11,10,14,24
"Cps1",7.84619996600444e-06,22,12,24
"Atic",0.000575618612560152,12,20,24
"Fn1",0.922289766876402,2,20,24
"Pecr",0.00028192928043914,6,20,24
"Rpl37a",0.116624297645382,2,16,24
"Igfbp2",0.0147674991866805,2,8,24
"Tns1",6.42413409512488e-06,12,20,24
"Arpc2",7.71067610120169e-07,16,10,24
"Aamp",6.64917739581044e-06,12,10,24
"Pnkd",7.69942696841316e-23,24,12,24
"Tmbim1",0.374192146222508,24,18,24
"Ctdsp1",1.98169052184778e-09,8,4,24
"Ttll4",0.000299184456152596,14,20,24
"Cyp27a1",0.00527180564080499,22,12,24
"Cnppd1",4.98523221630805e-10,8,8,24
"Retreg2",0.000324786261505796,8,8,24
"Abcb6",0.307851218251473,16,10,24
"Atg9a",0.897957657348338,8,10,24
"Stk16",8.96230861880063e-09,22,12,24
"Tuba4a",7.8313745825942e-15,6,8,24
"Dnajb2",6.09790674884762e-06,2,6,24
"Dnpep",0.865974114204087,4,18,24
"Farsb",7.60040690251298e-05,24,14,24
"Cul3",3.28390749488329e-08,10,8,24
"Pid1",1.99308629494691e-19,24,10,24
"Trip12",0.0137073036795304,24,10,24
"Cab39",0.0280429829220166,12,16,24
"Itm2c",0.00726189590636858,24,20,24
"2810459M11Rik",1.93785476677519e-07,2,12,24
"Psmd1",1.25583868885326e-09,6,8,24
"Ncl",1.68819747533673e-13,14,14,24
"Ptma",1.4266557816199e-05,24,6,24
"Eif4e2",2.52082825551463e-07,14,12,24
"Gigyf2",0.0381158141054137,14,20,24
"Ngef",3.93269022022839e-21,14,12,24
"Atg16l1",0.20340855341365,12,18,24
"Dgkd",0.00118707610994187,12,6,24
"Usp40",0.0660210379212075,6,10,24
"Ugt1a6b",8.36663660698889e-05,8,12,24
"Ugt1a6a",0.00174053382421498,6,14,24
"Ugt1a1",1.24144107512562e-10,14,12,24
"Hjurp",5.48568545246064e-08,8,14,24
"Spp2",0.0122210010859998,8,14,24
"Lrrfip1",0.00123828534717592,24,20,24
"Ube2f",6.42991286412469e-06,16,16,24
"Scly",4.61797311868292e-07,6,12,24
"Ilkap",0.0807712163261081,24,20,24
"Hes6",0.00750030376185637,24,6,24
"Ndufa10",0.00456652886382621,10,16,24
"Rnpepl1",0.0406530277605512,16,10,24
"Agxt",6.1588979019251e-12,8,8,24
"Sned1",0.212473202071683,6,12,24
"Hdlbp",0.000804388288673296,24,10,24
"Septin2",0.000132350398017541,2,8,24
"Stk25",0.000163391993301835,6,12,24
"Atg4b",0.00276782393213956,22,20,24
"D2hgdh",0.0530300046178435,8,18,24
"Ppip5k2",5.43909984233142e-09,22,12,24
"Pam",0.047991032350528,14,4,24
"Zcchc2",0.434958094883169,12,20,24
"Phlpp1",2.08668536298425e-06,6,8,24
"Vps4b",2.41623377423352e-09,6,12,24
"Tsn",0.00166027610425448,4,14,24
"Clasp1",0.00290182871293356,24,4,24
"Epb41l5",0.000378112334187228,2,8,24
"Tmem37",1.0619335033749e-11,18,16,24
"Dbi",3.5700499430359e-07,4,10,24
"Steap3",2.84828014333188e-11,24,14,24
"Insig2",4.63526211016915e-16,4,8,24
"Actr3",0.0254216422806558,22,20,24
"Ccnt2",0.361964691911579,14,14,24
"Rab3gap1",0.0256052824824152,12,6,24
"R3hdm1",0.000204656207251082,24,4,24
"Ubxn4",1.18206846309877e-05,2,8,24
"Dars",0.000367350659125495,12,14,24
"C4bp",0.000150235586938831,24,16,24
"Pfkfb2",3.65915699067635e-05,12,18,24
"Pigr",0.000261897741888297,6,12,24
"Mapkapk2",0.00131635942576138,2,12,24
"Eif2d",5.72800382712535e-07,12,6,24
"Srgap2",8.36189744561391e-06,6,8,24
"Pm20d1",0.0785222398322703,4,18,24
"Nucks1",3.44055760767825e-06,14,20,24
"Slc45a3",8.44424450297429e-14,22,12,24
"Mfsd4a",3.89195648178856e-09,8,16,24
"Cdk18",2.12712556590795e-16,14,12,24
"Rbbp5",5.00698001204138e-05,2,8,24
"Mdm4",3.5090569767752e-05,2,16,24
"Ppp1r15b",3.37553337331453e-07,16,14,24
"Plekha6",5.53943309499508e-08,8,12,24
"Etnk2",6.15257470945409e-19,12,12,24
"Zc3h11a",0.000146658549154573,14,16,24
"Zbed6",0.901373671932637,22,20,24
"Prelp",0.374586099332536,6,4,24
"Adora1",8.33624692078821e-11,10,10,24
"Tmem183a",0.187383671889406,8,16,24
"Adipor1",5.05947552401885e-08,12,18,24
"Rnpep",5.46249652423126e-08,24,12,24
"Ipo9",0.0339072800951431,24,20,24
"Zfp281",0.0011735578180379,14,14,24
"Nr5a2",1.61370054223273e-05,4,16,24
"Nek7",0.850730906239806,22,14,24
"F13b",0.000105395238548527,6,20,24
"Cfhr1",0.642896988093095,22,16,24
"Gm4788",1.14662782625512e-06,24,10,24
"Cfhr2",8.22658334846904e-07,2,12,24
"Cfh",1.589368086694e-07,24,10,24
"Odr4",0.00956965305635084,10,8,24
"Tpr",0.000689428602537383,6,10,24
"Prg4",6.49078884743972e-05,18,10,24
"C730036E19Rik",3.39897591518698e-17,14,18,24
"Ivns1abp",1.53482729486318e-12,14,16,24
"Trmt1l",5.96454053447074e-05,2,6,24
"Edem3",3.64327877493842e-05,24,4,24
"Arpc5",0.757127761204025,14,20,24
"Smg7",0.00396733735073294,14,14,24
"Dhx9",0.852478658843112,22,20,24
"Glul",0.945285761277334,2,16,24
"Xpr1",2.17236635727833e-05,6,20,24
"Acbd6",1.44128632043621e-07,10,8,24
"Qsox1",1.23367082156239e-11,24,10,24
"Cep350",0.00024509618120575,24,4,24
"Tor1aip1",0.000209971952893967,14,4,24
"Tor1aip2",1.11706467461211e-12,8,8,24
"Fam20b",1.37662488142315e-05,12,18,24
"Sec16b",0.888396187157658,14,20,24
"Cop1",1.38866022894091e-05,22,8,24
"Rabgap1l",4.24174664582922e-09,6,20,24
"Rc3h1",0.139918956543401,14,10,24
"Serpinc1",1.76662639769034e-07,6,8,24
"Zbtb37",3.59448562184591e-08,6,6,24
"Gas5",0.000978220016923606,8,16,24
"Prdx6",2.39716307722753e-07,16,8,24
"Prrc2c",0.609116128857085,24,4,24
"Fmo1",8.92141169987177e-14,16,10,24
"F5",0.0238650793187782,14,12,24
"Slc19a2",4.0415483783946e-11,4,8,24
"Atp1b1",8.34874265174864e-05,12,18,24
"Sft2d2",0.000425638837953563,6,20,24
"Dcaf6",8.70130922718355e-11,10,8,24
"Mpc2",0.0023132254773475,10,14,24
"Creg1",2.86400191356267e-07,6,12,24
"Tmco1",0.692118227609321,10,14,24
"Aldh9a1",2.54796727184507e-09,6,20,24
"Hsd17b7",0.0276292526648962,24,20,24
"Uap1",0.0604456733221858,16,14,24
"Uhmk1",0.0484322874283401,22,6,24
"Atf6",1.93268653758361e-05,8,12,24
"Sdhc",5.72217850216305e-05,10,14,24
"Nr1i3",6.68735421484981e-10,16,10,24
"Tomm40l",7.62766218680952e-15,14,12,24
"Apoa2",0.00595917703012936,6,20,24
"Ndufs2",0.123458546360913,16,14,24
"Ufc1",0.206995343099423,12,4,24
"Nit1",0.00016643638617469,8,14,24
"F11r",1.1939431990321e-05,16,18,24
"Ncstn",0.000110745408325337,8,10,24
"Copa",0.00124149521461028,8,6,24
"Pex19",2.39449916613668e-07,8,18,24
"Dcaf8",9.22499884909645e-08,8,10,24
"Crp",1.07899817689022e-08,22,12,24
"Apcs",6.6551466734691e-11,24,16,24
"Fh1",4.55839165347132e-09,16,14,24
"Kmo",7.51675585676983e-05,16,12,24
"Zbtb18",8.25792303150199e-05,2,4,24
"Adss",0.000257034052466055,12,14,24
"Hnrnpu",0.000856229666518869,2,8,24
"Ahctf1",3.9617157007135e-19,22,12,24
"Cdc42bpa",0.0029392281092911,6,10,24
"Coq8a",1.60604915360503e-11,4,10,24
"Psen2",4.97797887790383e-16,4,6,24
"Parp1",0.0214820014201719,22,14,24
"H3f3a",0.00293481963508731,16,12,24
"Ephx1",1.05087163480915e-05,10,14,24
"Nvl",0.000244994821005986,2,8,24
"Wdr26",6.75965198536186e-06,8,8,24
"Srp9",0.000282450442967458,8,16,24
"Degs1",0.00134941351935837,6,4,24
"Trp53bp2",0.0528277407005618,14,20,24
"Capn2",8.57787726631831e-11,4,10,24
"Susd4",0.930942281891161,14,20,24
"Brox",0.136685331406315,22,20,24
"Mia3",1.939593417045e-05,8,16,24
"Mtarc1",0.0167081770255335,8,6,24
"Mtarc2",4.7152681076908e-09,16,8,24
"C130074G19Rik",4.69051894777484e-09,8,10,24
"Iars2",2.32602802734972e-05,10,8,24
"Bpnt1",6.84483156255446e-07,22,12,24
"Eprs",0.385650869286216,24,10,24
"Prox1",5.13701391140368e-08,18,16,24
"Ppp2r5a",2.39524399101592e-05,8,6,24
"Lpgat1",7.0627685198864e-09,14,16,24
"Slc30a1",9.75227237505381e-08,18,12,24
"Irf6",3.05906773754309e-14,2,10,24
"Hsd11b1",0.000402194144336648,10,16,24
