"annot","pVal","phase","peak.shape","period"
"Selenbp2",3.13576185590035e-06,24,10,24
"Serpina4-ps1",3.33405031333097e-05,20,10,24
"Acta1",5.18328858085237e-05,10,20,24
"Aqp8",4.74642437299601e-07,4,10,24
"Saa1",0.0212679532154697,2,4,24
"Myh1",0.000653831945005526,10,20,24
"Ppp1r3c",2.79510420796372e-17,22,14,24
"Rgs16",3.11741669591354e-18,10,14,24
"Atp2a1",0.000669677258232309,10,20,24
"Mfsd2a",3.22592913284589e-14,14,12,24
"Hba-a1",2.82357731917748e-05,22,10,24
"Cldn1",1.64873024379092e-19,2,10,24
"Neb",0.000397963231732058,10,18,24
"Ttn",0.00133724904589365,10,18,24
"Chka",6.53271570226243e-24,2,8,24
"Saa2",0.0719026489146416,2,4,24
"C4a",0.00047382201877837,16,14,24
"Myh2",0.125399650896642,10,20,24
"Mcm10",1.16902589051781e-09,10,16,24
"Tnnt3",0.0235880923163185,10,20,24
"Vnn1",1.09366142855509e-07,10,14,24
"Cav1",0.0730029755539248,6,10,16
"Nr1d1",7.61297054474486e-21,8,14,24
"Ddc",1.92478807026147e-18,22,14,24
"Slc30a10",2.00030195301549e-16,4,8,24
"Noct",5.27347434671458e-08,14,16,24
"Dusp1",4.32910292593803e-09,14,18,24
"Avpr1a",1.26102850972075e-21,2,8,24
"Tpm1",0.371117190188195,12,8,12
"Crat",0.14191875233957,2,14,16
"Mup-ps16",2.07611958301404e-08,4,20,24
"Mb",0.0377408902059368,10,18,24
"Nr1d2",1.03808500094315e-28,10,14,24
"Mup1",0.0439808531442777,8,10,16
"Tpm2",3.68636619555869e-08,10,16,24
"Per2",7.68963905990403e-18,16,14,24
"Cd36",6.68022392334166e-08,10,12,24
"Acnat2",3.46037652646738e-07,2,6,24
"Rdh9",1.87033086266023e-10,8,18,24
"1810055G02Rik",6.96721808744221e-16,14,12,24
"Ugt1a9",0.611632937657648,10,4,12
"Tjp3",1.21139313839484e-19,24,12,24
"Gsn",0.0535156704613019,18,8,22
"Pim3",7.88824050830751e-10,12,12,24
"Scd2",3.78715578767658e-06,4,4,24
"Fkbp5",1.18614485653974e-14,14,18,24
"Denn2b",5.16406739035948e-19,4,8,24
"Rcan1",6.39108110625426e-09,12,20,24
"Tfrc",1.29707422564174e-07,16,16,24
"Onecut1",0.000542205494400756,14,16,24
"Igfbp5",6.09773155554962e-10,16,10,24
"Sik1",2.52775277318541e-07,18,14,24
"Ces1g",0.216113977313549,8,8,16
"Slc13a3",0.917080844442565,10,8,16
"Slc49a4",6.89866427661076e-17,22,18,24
"Paxx",1.5611878795337e-14,24,12,24
"Fzd4",3.26771117119937e-19,10,16,24
"Cry2",5.20944930106568e-13,14,12,24
"Epha2",2.87820635744584e-05,14,20,24
"Tenm3",6.66700338202434e-08,8,8,24
"Cyp2a4",7.1914892316826e-07,16,10,24
"Zbtb16",0.00130948870944149,12,20,24
"Acss3",1.14497841829855e-05,6,20,24
"Il1r1",0.000562331466940625,2,4,24
"Ppl",2.37568673286641e-05,2,6,12
"Hopx",2.44940639429505e-06,12,18,24
"Slc35d2",0.286331685069398,4,10,12
"Mup19",0.00238018008504593,2,12,18
"Depp1",0.000409657147558144,8,6,24
"Cyp4a12b",1.07807480487022e-07,20,14,24
"Tnxb",0.00409570168192687,18,8,22
"Eif4ebp3",1.36198740184636e-07,20,10,24
"Cited2",7.93451286235627e-06,6,8,12
"Per1",9.90365225060269e-12,10,20,24
"Asns",0.000447115069474408,2,8,24
"Il6ra",1.25099583427412e-10,14,14,24
"B3galt1",3.0014619609895e-05,18,16,24
"Efna1",2.88719458242676e-09,2,10,24
"Septin11",1.77843427701426e-08,2,10,24
"Vnn3",0.0145346640226568,4,10,12
"Slc3a1",2.02700349530667e-08,2,12,24
"Nxpe2",0.886990271571389,4,14,24
"Trim2",2.46407621611185e-20,24,12,24
"Dbp",1.12672358739934e-31,10,16,24
"Nr0b2",0.486375702804249,6,8,24
"Slc17a8",0.00293987819787305,10,2,12
"Egr1",0.834976163253684,2,14,16
"Mup18",0.0303159718880412,24,10,24
"Smagp",2.71796404525264e-21,2,12,24
"Nfil3",8.25427087653068e-19,2,8,24
"Fnip2",2.04529015543357e-19,10,16,24
"Lpl",0.0110080585752873,2,12,24
"Zfp385a",1.51489252018314e-10,6,6,24
"Mical2",2.12487666623926e-20,24,10,24
"Rai14",1.28951429370018e-18,2,8,24
"Nrep",9.91399892149979e-14,16,12,24
"Gm10319",2.27012478066052e-09,4,10,24
"Mt1",0.00577180091509763,12,10,24
"Rgs5",0.586164977160662,10,6,12
"Tnfaip2",1.02477671394667e-15,24,12,24
"Pfkfb1",1.90840326768339e-12,14,18,24
"Fgfrl1",2.84342198101421e-15,10,16,24
"Celsr1",3.11517175910105e-10,24,8,24
"Atp11a",1.01190651822034e-05,2,12,24
"Stard13",6.96264642874636e-10,4,6,24
"B4galt5",0.000725799328814631,2,6,12
"Ppfibp2",1.18509164749134e-10,6,6,24
"Gsta2",1.16054061118506e-05,10,14,24
"Khnyn",9.4311829507298e-11,6,6,24
"Idi1",5.31038503426729e-06,24,16,24
"Rnf152",1.29820389338905e-07,10,8,24
"Igfbp1",0.268158426657895,4,6,24
"Zfp655",3.87498704014752e-10,12,6,24
"Mreg",1.18990226563995e-18,22,14,24
"Tcim",1.31568564811277e-07,14,12,24
"Zfp467",0.00404995549818329,6,16,24
"Hcn3",1.64712770492253e-11,14,10,24
"Ces1e",0.128462153890436,4,8,12
"Cobl",0.000820794451139021,2,4,24
"Atoh8",9.07451003256194e-06,6,6,12
"Acot4",5.45779944086698e-11,14,10,24
"Esr1",1.44948871939843e-12,18,14,24
"Irs1",8.59501344545402e-07,6,6,24
"Fabp2",0.00781573983609391,6,20,24
"Gstt2",8.59285556770421e-10,10,16,24
"Ckm",0.123684604991729,10,16,24
"Trim24",3.61087359894928e-12,12,14,24
"Moxd1",4.9653948232244e-06,2,8,24
"Josd2",3.09002028015842e-14,2,6,24
"Cyp2b9",5.08304631926001e-07,6,20,24
"Slc23a2",1.68519191285713e-11,8,10,24
"Pkm",0.287078101192119,10,10,12
"Gnat1",1.56468497853872e-15,10,12,24
"Klhdc7a",3.99052863300523e-16,8,12,24
"Gm3734",0.000298227026723537,22,18,24
"Junb",8.55170116576988e-09,10,10,24
"Serpine2",0.00634289880816424,2,8,22
"Kdr",0.291587225479459,10,4,12
"Pltp",0.14344499555493,8,8,16
"A730008H23Rik",0.116203809580551,8,6,12
"Hspb6",0.0916005027168786,10,14,24
"Sdr9c7",4.53640519709288e-11,4,8,24
"Hyi",8.51904035586731e-06,6,20,24
"Zfp809",0.000680650458810424,16,16,22
"Enho",0.000220578763490105,24,14,24
"Lnx2",1.35181733186522e-16,24,8,24
"Per3",6.1485648464682e-25,10,18,24
"Ryr1",0.00977008630580522,10,14,24
"Rhbg",0.277222893259807,20,10,24
"Tacc2",0.00213776376727435,6,14,24
"Ctss",0.0227202946392917,14,4,16
"Irgq",9.16447602150188e-12,24,8,24
"Plxna2",9.27122186420213e-12,24,14,24
"Ptpn21",4.43500802418664e-06,18,18,24
"Arhgef10l",4.57658375158225e-09,6,6,24
"Zfhx4",6.09042019533134e-07,6,4,24
"Des",0.650404525792657,10,12,24
"Slc10a2",3.30864370877138e-05,18,14,24
