"annot","pVal","phase","peak.shape","period"
"Mrpl15",2.16517856120443e-05,16,14,24
"Lypla1",0.00605471018651142,20,10,24
"Tcea1",0.0856243487921204,4,4,24
"Atp6v1h",0.0420654856244305,6,16,24
"Rb1cc1",6.22146479351e-06,14,10,24
"Pcmtd1",0.000109311699284934,12,6,24
"Adhfe1",0.127393396920366,8,20,24
"Vcpip1",0.6857928759143,16,4,24
"Cops5",1.82080221378856e-05,10,12,24
"Arfgef1",0.0326583896653441,16,8,24
"Ncoa2",0.10628833717274,8,10,24
"Tram1",0.0513875972330886,4,10,24
"Lactb2",4.93564515439655e-06,2,14,24
"Rpl7",0.904348448322802,2,20,24
"Tmem70",0.000484589818731641,20,14,24
"Gsta3",9.34432985340161e-07,22,14,24
"Lmbrd1",2.77242833925836e-08,14,12,24
"Phf3",0.000257034052466055,16,14,24
"Dst",8.07587809746626e-16,16,12,24
"Fam168b",0.154858592792702,24,12,24
"Hs6st1",3.86064433720157e-08,12,16,24
"Uggt1",0.0445375822913967,16,20,24
"Kansl3",8.7902144689913e-14,12,14,24
"Cox5b",0.437030812518222,24,6,24
"Actr1b",0.0211200642007097,14,8,24
"Tmem131",0.117102802372054,8,20,24
"Coa5",4.84480313979233e-10,14,16,24
"Mrpl30",0.742841386505157,20,8,24
"Txndc9",0.00913257485492082,2,20,24
"Eif5b",3.03728107686663e-05,4,4,24
"Rpl31",0.140912712790016,2,20,24
"Rnf149",2.38456726873005e-07,4,12,24
"Tgfbrap1",1.60032409208305e-05,14,20,24
"Tpp2",0.0088653201967947,4,6,24
"Slc40a1",6.57138811516643e-08,10,6,24
"Myo1b",2.12607666416045e-11,2,10,24
"Stat1",0.900184004454052,6,6,24
"Nab1",5.04455889007011e-07,14,10,24
"Hibch",3.99862923361041e-09,14,6,24
"Sf3b1",4.91928519741316e-07,14,8,24
"Hspd1",8.35128272146026e-13,16,16,24
"Hspe1",3.32070837661886e-14,18,14,24
"Aox1",5.15814997765107e-06,6,10,24
"Aox3",5.02573397791778e-12,6,14,24
"Bzw1",0.00140972794351146,16,16,24
"Clk1",2.55524039548964e-11,10,6,24
"Ndufb3",0.887775362800483,10,20,24
"Cflar",0.00989142914047946,16,14,24
"Stradb",3.00193208463142e-09,12,6,24
"Als2",8.5752032963548e-11,18,16,24
"Bmpr2",0.754903077575472,16,14,24
"Raph1",0.396792534059719,16,18,24
"Ndufs1",0.000715468096663717,14,16,24
"Eef1b2",0.715388044252805,4,4,24
"Idh1",0.00673586508249396,2,14,24
"Acadl",0.000196722020295918,8,20,24
"Cps1",0.000365923527731646,16,14,24
"Fn1",0.00133107308435012,16,8,24
"Pecr",0.00280424266808876,10,6,24
"Rpl37a",0.43687892531133,4,12,24
"Igfbp2",0.264968415012039,12,14,24
"Tns1",8.33624692078821e-11,16,14,24
"Arpc2",6.15547747496602e-08,16,6,24
"Aamp",2.88257264087242e-07,12,10,24
"Pnkd",4.43870508627136e-25,24,12,24
"Tmbim1",3.63288401272424e-10,8,12,24
"Ctdsp1",8.11161211948176e-10,6,8,24
"Ttll4",4.36108712586595e-05,16,16,24
"Cyp27a1",0.0463092225293559,22,12,24
"Cnppd1",1.21327129938916e-09,8,18,24
"Retreg2",4.07352323037588e-13,8,18,24
"Zfand2b",2.3040258071846e-05,12,10,24
"Abcb6",9.73867434776286e-06,10,18,24
"Atg9a",3.15424129058866e-06,10,16,24
"Stk16",2.45182416435771e-05,20,14,24
"Tuba4a",1.92078181881826e-19,4,10,24
"Dnajb2",2.06719824711375e-05,2,8,24
"Dnpep",1.7677715088482e-07,2,20,24
"Farsb",2.01615631508625e-05,2,8,24
"Cul3",2.265225322293e-08,10,8,24
"Pid1",1.19991152755797e-19,2,10,24
"Trip12",0.872758389272963,16,12,24
"Cab39",0.000210383271705357,14,8,24
"Itm2c",5.22626975983392e-07,4,14,24
"2810459M11Rik",1.1804678383029e-07,6,8,24
"Psmd1",7.18553383889828e-11,4,8,24
"Ncl",4.45668939711282e-13,14,14,24
"Ptma",4.21629859306971e-06,20,12,24
"Eif4e2",2.22704080581027e-05,14,14,24
"Gigyf2",0.00402962863661854,16,16,24
"Ngef",6.02514894730792e-22,12,16,24
"Atg16l1",0.000524486942896309,12,10,24
"Usp40",0.0566398695868704,10,16,24
"Ugt1a6b",0.870823348058335,8,4,24
"Ugt1a1",0.000201648850149015,14,14,24
"Hjurp",6.00318935805463e-13,8,14,24
"Spp2",0.0713927588033104,8,20,24
"Lrrfip1",0.0203831137078011,8,4,24
"Ube2f",1.49802808928499e-10,16,16,24
"Scly",5.74509056220242e-10,4,12,24
"Ilkap",0.0123068567162583,2,20,24
"Hes6",0.00330399049985172,12,20,24
"Ndufa10",0.672253420637197,20,10,24
"Rnpepl1",0.0442306785226405,14,8,24
"Agxt",4.38493297566035e-18,8,8,24
"Sned1",0.0149052089263532,8,10,24
"Hdlbp",0.827028588631262,16,8,24
"Septin2",4.03067355440394e-05,2,8,24
"Stk25",2.18447770522196e-08,8,8,24
"Atg4b",0.000325548670490796,4,4,24
"D2hgdh",2.3537511977834e-05,12,10,24
"Ppip5k2",4.80963952729538e-10,16,18,24
"Zcchc2",0.00204346468794761,16,4,24
"Phlpp1",2.3833019560501e-10,8,8,24
"Vps4b",1.94012256303162e-15,8,10,24
"Tsn",0.308149022031063,10,12,24
"Epb41l5",0.0249338410060483,12,12,24
"Tmem37",2.0171033804678e-20,18,16,24
"Dbi",8.98293601308286e-09,2,14,24
"Steap3",1.3183015376583e-15,24,16,24
"Insig2",3.14445575834795e-19,2,10,24
"Actr3",0.00845546416821698,4,10,24
"Slc35f5",1.50573376644055e-16,8,8,24
"Rab3gap1",1.1173207928527e-05,16,10,24
"R3hdm1",4.22238346404119e-05,16,18,24
"Ubxn4",2.52636961328524e-05,4,6,24
"Dars",8.8711768553885e-07,14,8,24
"C4bp",0.021755619050702,24,10,24
"Pfkfb2",1.86965542055175e-06,14,18,24
"Pigr",0.000551724810632694,8,10,24
"Mapkapk2",9.72950753768957e-13,8,4,24
"Eif2d",1.35565572386639e-12,12,6,24
"Pm20d1",0.048415246588805,8,14,24
"Nucks1",7.70535923090616e-19,14,18,24
"Mfsd4a",2.97797618918656e-07,10,16,24
"Cdk18",8.95428252486885e-16,14,14,24
"Mdm4",0.000880324627501631,2,20,24
"Ppp1r15b",5.12915241586439e-10,16,14,24
"Plekha6",8.03024576802517e-12,8,16,24
"Etnk2",1.8885103781744e-15,14,12,24
"Zc3h11a",2.82422410920764e-07,12,16,24
"Prelp",0.437244851451563,2,8,24
"Tmem183a",7.77393714525002e-07,6,20,24
"Adipor1",1.29235877936056e-11,14,12,24
"Rnpep",0.00056757997705639,4,4,24
"Ipo9",0.0789610596033887,8,4,24
"Nr5a2",8.75192198504022e-08,8,10,24
"Nek7",0.000119135961387278,12,6,24
"F13b",1.75399937406979e-06,8,20,24
"Cfhr1",0.197444705810695,16,12,24
"Gm4788",0.686173012419284,22,16,24
"Cfhr2",4.58763183185806e-07,2,12,24
"Cfh",0.163793813210935,16,12,24
"Odr4",0.00363705830405988,12,10,24
"Tpr",2.81589435313017e-05,8,10,24
"Prg4",0.0773814239680484,16,12,24
"C730036E19Rik",5.57396359940007e-09,18,10,24
"Ivns1abp",4.67374484828883e-12,14,16,24
"Edem3",4.87513470770915e-06,16,18,24
"Arpc5",0.852850245598461,24,16,24
"Smg7",0.000266449167887869,16,14,24
"Dhx9",0.000713042808326819,16,16,24
"Glul",0.262325380652367,16,4,24
"Xpr1",3.54986137045282e-05,8,20,24
"Acbd6",4.98179532106596e-08,10,6,24
"Qsox1",0.0383078445338963,24,10,24
"Cep350",1.55609237002374e-06,16,18,24
"Tor1aip1",0.464275866565723,14,8,24
"Tor1aip2",1.68819747533673e-13,8,10,24
"Sec16b",0.263025011710861,6,4,24
"Cop1",5.10506051246299e-08,18,16,24
"Serpinc1",5.2034879581233e-10,4,10,24
"Zbtb37",7.71787640023777e-15,6,8,24
"Gas5",0.00260994356728633,12,8,24
"Prdx6",0.000162056481275356,14,14,24
"Prrc2c",0.31789720812637,16,20,24
"Fmo1",1.22008635706747e-13,20,10,24
"F5",1.52017870755414e-05,14,14,24
"Slc19a2",7.17870203913694e-08,8,6,24
"Atp1b1",2.00000643741226e-07,16,6,24
"Sft2d2",1.21495972616088e-05,14,10,24
"Dcaf6",6.03291065184692e-09,12,4,24
"Mpc2",0.84288170328593,20,8,24
"Creg1",1.41657667109709e-10,6,10,24
"Tmco1",0.595189058461418,24,16,24
"Aldh9a1",0.0534590049741593,8,14,24
"Hsd17b7",0.0446970609299175,2,16,24
"Uhmk1",0.000448339575977753,14,20,24
"Atf6",0.00312563465725508,16,8,24
"Sdhc",0.0895661915863466,20,20,24
"Nr1i3",6.98881142457585e-08,14,14,24
"Tomm40l",2.01290507998111e-12,12,16,24
"Apoa2",0.00479486723505785,6,10,24
"Ndufs2",0.925288733118877,20,4,24
"Ufc1",0.00249111880162301,6,10,24
"Nit1",3.28390749488329e-08,10,8,24
"F11r",1.5794064494069e-05,20,14,24
"Ncstn",6.92695967802438e-07,6,12,24
"Copa",0.0159794441861066,4,20,24
"Pex19",2.63118718102931e-09,12,8,24
"Dcaf8",1.01112214171991e-13,10,8,24
"Crp",3.53988092957799e-06,2,8,24
"Apcs",1.65586850428894e-05,24,20,24
"Fh1",1.05748409280235e-14,16,14,24
"Kmo",2.71335207522253e-05,14,14,24
"Zbtb18",2.13051627576417e-05,16,14,24
"Adss",0.150545168420353,16,6,24
"Hnrnpu",4.30654176172329e-08,2,10,24
"Ahctf1",4.55052283510056e-13,22,12,24
"Cdc42bpa",0.000175196195973358,8,10,24
"Coq8a",8.92785127850818e-18,2,12,24
"Psen2",9.75780284582529e-19,4,8,24
"Parp1",0.000151549882115349,4,6,24
"H3f3a",0.000275712629289465,18,12,24
"Ephx1",3.13286378947752e-05,8,8,24
"Wdr26",7.92787824489752e-07,8,10,24
"Srp9",0.000195039860114699,2,20,24
"Degs1",1.35713172601335e-05,2,16,24
"Capn2",1.13068356497992e-14,4,10,24
"Mia3",1.29171979424907e-09,8,16,24
"Mtarc1",1.61185680804407e-07,8,8,24
"Mtarc2",1.41130334661752e-06,10,20,24
"C130074G19Rik",6.64980975121771e-07,8,8,24
"Rab3gap2",0.00479842307366019,4,20,24
"Iars2",2.74655375912374e-05,8,14,24
"Bpnt1",6.37297923573114e-11,20,14,24
"Eprs",0.909446546791067,16,4,24
"Prox1",0.00968798045131262,22,12,24
"Ppp2r5a",5.00375682854948e-08,8,8,24
"Ints7",0.766350370724152,22,12,24
"Lpgat1",3.52123603798696e-11,16,14,24
"Slc30a1",4.86073870339775e-11,16,14,24
"Gstp-ps",0.4065521776279,22,8,24
"Irf6",4.48627633993242e-06,6,8,24
"Hsd11b1",0.433469927067297,10,6,24
"G0s2",0.0101543010724753,2,6,24
"Cr1l",0.000118000089064573,10,12,24
"Fam107b",0.000610205437369917,16,8,24
"Prpf18",1.22696829392356e-08,10,14,24
"Sephs1",0.00241501292210098,8,10,24
"Phyh",0.00515198128226547,12,8,24
"Mcm10",6.27919344426632e-10,12,14,24
"Optn",8.12567574445699e-15,12,14,24
"Camk1d",1.88306013470716e-15,6,10,24
"Cdc123",5.31970131545669e-05,10,12,24
"Dhtkd1",3.2041483382851e-09,8,16,24
"Echdc3",5.96333568681343e-12,8,8,24
"Atp5c1",0.0689410613462113,20,12,24
"Itih2",0.000413746021071959,8,8,24
"Rbm17",7.39496384485845e-14,10,8,24
"Il15ra",8.18327509771992e-13,12,14,24
"Mindy3",3.62435066135028e-09,2,8,24
"Pter",3.77423617048635e-16,2,12,24
"Arl5b",1.40794717656508e-05,14,14,24
"Dnajc1",1.00450852855093e-07,16,20,24
"Commd3",4.38506366348314e-05,8,8,24
"Arhgap21",1.63780352084906e-13,14,10,24
"Abi1",4.62445530062308e-09,8,10,24
"Acbd5",4.12725856071691e-16,8,10,24
"Yme1l1",0.000737704590191974,4,16,24
"Ehmt1",1.24856027948555e-07,14,16,24
"Pnpla7",1.23913833281014e-07,6,14,24
"Nsmf",1.27335457021895e-07,2,12,24
"Entpd8",2.45236221521274e-05,6,8,24
"Tubb4b",7.51381648252879e-15,2,12,24
"Anapc2",1.14495616277623e-13,8,10,24
"Man1b1",0.561368503898129,14,20,24
"Abca2",1.5577772270021e-09,2,16,24
"C8g",1.57218412628713e-07,4,12,24
"Fbxw5",0.0294300017717048,4,18,24
"Edf1",2.78243289073089e-05,12,20,24
"Nacc2",2.48380275643341e-05,4,8,24
"Tmem250-ps",9.50266293132918e-19,24,12,24
"Entr1",9.80728866798124e-05,2,6,24
"Pmpca",0.0451602319965844,6,16,24
"Sec16a",0.397483217848689,2,8,24
"Agpat2",9.66543660731239e-12,24,12,24
"Rpl7a",0.00615881199337609,18,14,24
"Surf1",1.92641516009087e-05,12,10,24
"Surf4",0.000265787282144262,4,4,24
"Cacfd1",0.0417850686787826,2,20,24
"Sardh",0.00103499543135977,16,12,24
"Vav2",1.46389237618722e-06,16,4,24
"Brd3",0.0580058305935122,16,12,24
"Wdr5",0.0443977231144154,12,10,24
"Rxra",4.49232800631956e-09,12,14,24
"Mrps2",0.000756380655766455,16,20,24
"Tsc1",7.17983241312934e-05,8,8,24
"Rapgef1",8.07850735677084e-15,14,14,24
"Slc27a4",0.0308321981582361,4,8,24
"Gle1",1.69275351062263e-11,8,14,24
"Sptan1",0.936916072454361,20,16,24
"Set",6.55038127686251e-06,4,4,24
"Zer1",1.93004499040392e-13,8,8,24
"Tbc1d13",9.65812195241517e-05,16,14,24
"Endog",5.23785562535341e-11,18,12,24
"Kyat1",8.11832657905045e-09,22,16,24
"Lrrc8a",7.73031727013762e-05,14,18,24
"Phyhd1",0.00336988222553347,10,16,24
"Sh3glb2",0.00191866584890275,4,18,24
"Miga2",0.000149942639647379,14,18,24
"Crat",9.91279304009447e-05,20,18,24
"Ptpa",2.32872673536196e-13,24,10,24
"Tor1b",2.38250971567538e-13,14,18,24
"BC005624",0.0943372547189352,6,12,24
"Ass1",0.00302008662669608,24,16,24
"Abl1",2.27919582673566e-09,12,18,24
"Prrc2b",0.0159334774671214,8,16,24
