"annot","pVal","phase","peak.shape","period"
"Gpx3",0.00367872529418824,14,16,24
"Kap",0.000377331191664496,20,14,24
"Saa1",0.0664662106325462,4,4,12
"Cyp7a1",6.59307123087388e-07,14,18,24
"Hba-a1",0.0197029868036903,4,6,20
"Slc34a1",0.206311975265986,14,12,16
"Saa2",0.0401094223430094,4,4,12
"Hhex",0.0269086908112681,12,20,24
"Tubb2a",7.55726588222234e-21,2,10,24
"Angptl8",7.3650339851157e-05,12,10,12
"Ppp1r3c",7.9048762741446e-15,2,10,24
"Cyp4a14",0.0598811728180327,6,6,16
"Cldn1",4.85010043360077e-18,2,10,24
"Nr1d1",1.07682685495518e-23,8,12,24
"Chka",2.83005293801938e-26,2,8,24
"C4a",0.00136397725307788,2,6,12
"Gm4952",5.36551780780885e-11,6,10,24
"Inhbe",0.00612586566946214,10,10,24
"Angptl4",1.64761455590211e-07,14,12,24
"Acsm2",0.00109168206363058,16,2,16
"Hsph1",2.15557148556525e-09,16,16,24
"Mup12",0.026803104150768,10,8,24
"Mafb",2.02211969264199e-16,14,12,24
"Depp1",1.52319232204884e-06,6,6,24
"Ddc",2.60334770752913e-15,22,14,24
"Mfsd2a",5.00869795355731e-12,14,12,24
"Nedd4l",1.2831620065391e-18,2,8,24
"Irf2bp2",1.13234718132569e-06,22,14,24
"Mup16",0.0292833993633268,14,8,16
"Lhpp",1.26332091638519e-10,10,10,24
"Gstm3",4.16354146580821e-08,4,12,24
"Rdh9",1.8852991119003e-12,8,18,24
"Ndrg1",1.40742727530357e-10,24,16,24
"Foxa3",5.83782212271391e-07,12,20,24
"Atp11a",0.000390791377930173,2,12,24
"Eif4ebp3",1.93431672407465e-18,16,14,24
"Creld2",2.13277881270682e-08,4,6,12
"Per2",4.82609003541463e-18,16,14,24
"Slc30a10",2.84644937926906e-24,2,10,24
"Dbp",1.03552814133491e-28,12,14,24
"Lrp2",0.00427125174070225,12,6,16
"Ptprb",0.00219327901771899,6,6,16
"Nr1d2",1.69603630765235e-25,10,14,24
"Ehd3",1.1188333166284e-05,4,12,16
"Tjp3",1.42407847128339e-21,2,10,24
"Zfp970",6.83535057790134e-09,14,16,24
"Moxd1",0.0864909981255099,2,18,24
"Aqp1",0.00694294135915458,8,4,12
"Sdc3",0.026189405417155,4,10,16
"Timp3",1.03472913423375e-07,14,16,24
"Ahr",0.00016131383429876,2,4,12
"Neb",1.92812282913862e-07,10,8,24
"Ugt1a6a",4.69681006298276e-08,2,10,16
"Clock",2.83942110919679e-24,2,10,24
"Susd4",0.429892384564993,2,4,12
"Slc8b1",1.18615768070992e-06,8,18,24
"Reln",1.30246402242873e-07,4,8,16
"Syne1",5.11498638049784e-13,4,8,24
"Efna1",1.14404116097855e-12,4,8,24
"Fabp2",0.085643636958227,8,8,24
"Necab1",1.85471671211539e-12,8,8,24
"Mup-ps16",1.19765987328897e-05,10,6,24
"Homer2",1.3385642207685e-16,14,16,24
"Klb",4.88075332360986e-09,8,14,24
"Plk3",7.32116459412707e-09,16,12,22
"Rgs16",1.20775079962454e-18,10,14,24
"Slc41a2",0.000114762217227786,2,8,24
"Etfbkmt",2.77467318037385e-08,18,14,24
"Sbk1",8.06700450503674e-11,14,14,24
"Slc45a3",4.4485600748653e-22,22,14,24
"Denn2b",4.89533430872979e-14,22,14,24
"Sucnr1",0.000124755434833437,8,6,24
"Cd5l",0.000909085310968185,10,8,24
"Cyp4b1",0.0101141775966686,4,12,16
"Sparc",0.379040089830166,10,8,16
"Foxa2",0.0479347496970283,12,10,12
"Nox4",2.15224705650172e-08,8,14,24
"Nr0b2",3.8330237432296e-10,6,10,24
"Gstm4",1.96354930095724e-13,6,10,24
"Acta1",0.149517831631925,14,10,24
"Arsa",7.67991340163639e-16,10,6,24
"Foxq1",0.000937884826980998,16,10,22
"Mme",0.00905751433759752,6,6,16
"Slc20a1",3.77760653248411e-10,12,10,24
"Tm4sf4",2.27919408054219e-13,8,14,24
"Il1r1",3.99989603928077e-06,12,20,24
"Mreg",2.77248348465565e-24,24,12,24
"Col14a1",1.70931337258854e-05,6,6,16
"Urml",3.67359348776477e-12,2,10,24
"Pltp",0.0301318194190037,6,6,16
"Sdf2l1",6.25090719982366e-07,2,12,24
"Slc3a1",0.000342228077310729,2,16,24
"Fnip2",6.04820305470687e-17,10,16,24
"Foxa1",0.00402038211432289,12,10,12
"Fkbp5",8.09929515143284e-16,14,14,24
"Tnfaip2",2.36410373042558e-13,2,8,24
"Soat2",2.78657813417968e-12,8,12,24
"B4galt5",1.61910386360353e-09,16,12,24
"Fndc4",0.00068179811358493,2,20,24
"Gm49668",0.000145208159440389,8,4,24
"Klhdc7a",5.4099695377438e-16,8,14,24
"Dnase1l3",0.0417107573589986,4,8,16
"Glt1d1",2.71023786502313e-12,14,12,24
"Cyp2c38",1.70191374759898e-05,6,6,16
"Dusp6",0.00448065249316089,2,6,12
"Il6ra",1.59217904724839e-16,14,14,24
"Itga5",1.57457906616709e-18,24,10,24
"Nolc1",1.16076541076997e-06,16,16,24
"Celsr1",1.32308218131706e-11,20,14,24
"Tmsb4x",0.00100717354325923,10,4,16
"Gabbr2",1.0645028481101e-08,12,10,24
"Cgn",1.13839544507296e-14,2,10,24
"Atxn1",7.12012081923922e-05,16,20,24
"Ppard",7.26718689096608e-22,2,8,24
"Serpina7",2.2820587921645e-11,6,14,24
"Vnn1",0.0234982663819507,6,20,24
