,Gene_ID,Period,SNR,nSNR,LLR,phase
0,Mrpl15,24.0,1.5699117600047927,0.5608865695173899,-1.6681547164916992,15
1,Lypla1,24.0,1.5965971863033162,0.5411164290705718,-1.6823503176371257,16
2,Tcea1,22.0,1.997520721492188,0.8580866039758355,-1.7702991167704265,19
3,Atp6v1h,24.0,4.476248932710711,1.629968414519516,-1.4318065643310547,9
4,Rb1cc1,24.0,2.0774225887392244,0.5773872963503626,-1.5965355237325032,8
5,Pcmtd1,18.0,1.694994190048118,0.7701621006239322,-1.8054033915201824,12
6,Adhfe1,24.0,2.3746489178527543,0.9454090284616997,-1.360599676767985,14
7,Vcpip1,16.0,4.096182693899157,1.9609293522863052,-1.4925899505615234,13
8,Cops5,24.0,0.965376264899586,0.32311570871505024,-1.7922801971435547,8
9,Arfgef1,12.0,1.8002797865797555,0.6809385444454918,-1.8950661023457844,10
10,Ncoa2,24.0,3.338388610981568,1.0172761877793932,-1.5878389676411946,3
11,Tram1,24.0,3.5786377606255475,1.1787286959739556,-1.6449964841206868,24
12,Lactb2,24.0,2.968172446521733,1.072288970775433,-1.6756216684977214,3
13,Rpl7,16.0,2.449680541808417,1.2248402709042086,-1.6439755757649739,7
14,Rdh10,24.0,2.1545526193480358,0.6170672073401666,-1.7970843315124512,15
15,Tmem70,12.0,2.8082796348758823,1.4041398174379411,-1.7960128784179688,2
16,Gsta3,12.0,3.2496840868186627,1.6248420434093314,-1.7042051951090496,2
17,Fam135a,24.0,4.532587029291832,1.4444390344557485,-0.35218270619710285,21
18,Lmbrd1,24.0,1.7756367875484353,0.5684870353232764,-0.712546189626058,10
19,Phf3,16.0,2.1795495755623984,1.0897747877811992,-1.5950576464335124,14
20,Ptp4a1,24.0,2.9758436986765435,0.8489235539711337,-0.7821822166442871,11
21,Dst,24.0,2.296212233283958,0.7936204037819362,-0.859168529510498,13
22,Fam168b,24.0,2.659573382323986,0.7660892499037174,-1.7314931551615398,22
23,Hs6st1,24.0,3.2771621168272116,0.9400734196253129,-0.8131473859151205,10
24,Uggt1,24.0,2.1108810236377047,0.6104914532880253,-0.9634820620218912,21
25,Kansl3,24.0,3.07294724137335,0.8818271045372567,-1.041792869567871,9
26,Cox5b,24.0,3.867842650441143,1.2957856017470553,-0.9066615104675293,10
27,Actr1b,12.0,2.4973827899472796,1.2486913949736398,-1.3510173161824544,9
28,Tmem131,16.0,2.1074550972720973,1.0537275486360487,-1.6241132418314617,12
29,Inpp4a,12.0,3.316203508211483,1.6581017541057415,-1.291948636372884,11
30,Coa5,24.0,2.8662296735748107,0.9453240105609666,-1.2797075907389324,12
31,Mrpl30,12.0,2.1592408802386647,1.0796204401193323,-1.958414872487386,8
32,Txndc9,24.0,1.383552976689975,0.4386501754393552,-1.824182351430257,3
33,Eif5b,10.0,0.5900196911511147,0.2950098455755574,-1.9594724973042805,5
34,Rpl31,16.0,2.5709079943750783,1.262131385357817,-1.577700138092041,8
35,Rnf149,24.0,2.8510782958556264,1.0291709376159544,-0.8600676854451498,2
36,Tgfbrap1,16.0,3.9784244666561412,1.9892122333280706,-1.3161214192708333,13
37,Tpp2,24.0,3.58295851619396,1.1201077320815682,-1.4153127670288086,22
38,Col3a1,14.0,1.9964050199910472,0.9982025099955236,-1.755950927734375,10
39,Slc40a1,12.0,2.4511615555661033,1.2255807777830516,-1.1506888071695964,8
40,Myo1b,24.0,3.5013554561881155,1.1601802216871326,0.032207330067952476,22
41,Stat1,16.0,3.367556276349169,1.6837781381745844,-1.418617566426595,12
42,Nab1,22.0,2.6136889915823676,0.9967513442169698,-1.5319956143697102,16
43,Hibch,24.0,1.9788354978537177,0.7146334254014307,-0.8629067738850912,9
44,Sf3b1,24.0,3.260366433863921,1.112920469257295,-0.7520500818888346,9
45,Hspd1,24.0,2.734434824210545,0.8215621919549859,-0.7217245101928711,18
46,Hspe1,24.0,3.6750087261625453,1.4506935782139618,-0.22499593098958334,15
47,Aox1,24.0,4.231253795616992,1.6701443894013241,-0.5455036163330078,4
48,Aox3,24.0,2.9844478903290668,1.0659464227126416,-1.3294200897216797,4
49,Bzw1,24.0,0.9951962906445667,0.29593239881802097,-1.66130797068278,13
50,Clk1,22.0,2.5458349378976513,0.874531328963726,-1.722354571024577,8
51,Ndufb3,24.0,2.6673950851789634,0.9069256679534498,-1.410508632659912,9
52,Cflar,12.0,1.9947244080500417,0.9973622040250208,-1.634092648824056,12
53,Trak2,24.0,4.228884425457865,1.3429240619155731,-1.3389116923014324,9
54,Stradb,24.0,2.4203721196685595,0.7277268503295787,-0.7705279986063639,8
55,Als2,24.0,2.6801139959282563,0.936121190096196,-0.031879425048828125,20
56,Fzd7,10.0,1.9255089606729632,0.9627544803364816,-1.746925989786784,2
57,Bmpr2,18.0,3.367879863106553,1.4244281964472032,-1.945547103881836,13
58,Nbeal1,16.0,2.157601554881216,1.078800777440608,-1.903627077738444,13
59,Raph1,12.0,3.703103808731011,1.8515519043655055,-1.4216691652933757,11
60,Ino80d,12.0,1.6069129485919895,0.8034564742959948,-1.3603533109029133,12
61,Ndufs1,24.0,2.7113846279205873,0.8998268997857902,-1.2463877995808919,9
62,Eef1b2,24.0,4.20410098651787,1.372011757437917,-1.0097718238830566,22
