,Gene_ID,Period,SNR,nSNR,LLR,phase
0,Gpx3,12.0,3.4103646244732486,1.7051823122366243,-1.8485415776570637,6
1,Kap,14.0,1.776859475584816,0.888429737792408,-1.8807897567749023,6
2,Saa1,12.0,1.55702517234209,0.778512586171045,-1.6516752243041992,10
3,Cyp7a1,24.0,2.5048763221152894,1.0144566097185068,-0.6872212092081705,12
4,Hba-a1,20.0,3.1666172967260886,1.4520481935516176,-1.4845194816589355,1
5,Slc34a1,12.0,3.0456549126007975,1.5228274563003987,-1.8263877232869465,6
6,Saa2,10.0,1.2001678983998416,0.6000839491999208,-1.8168185551961262,2
7,Hhex,12.0,2.1579160416270975,1.0789580208135487,-1.2913166681925456,10
8,Tubb2a,24.0,4.43651948904127,1.84363674579096,0.6075166066487631,24
9,Angptl8,24.0,4.062538365487003,1.6215275748817175,-0.9114257494608561,23
10,Ppp1r3c,24.0,3.6911901701647407,1.2233608182104745,0.33261434237162274,23
11,Cyp4a14,16.0,3.171126567800564,1.4376324106718168,-1.4756027857462566,3
12,Cldn1,24.0,2.8069592704925883,1.0366526669961684,0.5862211386362711,23
13,Nr1d1,24.0,6.128130241023078,2.2594382885396014,0.9216531912485758,6
14,Chka,24.0,4.423696972835558,1.7362420570679604,0.711936871210734,23
15,C4a,12.0,1.9104616881749605,0.9552308440874803,-1.4768320719401042,1
16,Gm4952,24.0,2.491221980392174,0.891868427917814,0.0045274098714192705,2
17,Inhbe,24.0,3.942368341676909,1.4105756423532076,-1.352816104888916,9
18,Angptl4,24.0,1.9036126124172603,0.6925650176406094,-0.801814079284668,10
19,Acsm2,16.0,1.725758042568249,0.8346458965894744,-1.8328372637430828,10
20,Hsph1,24.0,2.638450181617713,0.9791442967633492,-0.6172928810119629,15
21,Mup12,22.0,2.000794308490748,0.6844477755556246,-1.8331700960795085,11
22,Mafb,24.0,4.719593676023927,1.6144570988821503,-0.4778451919555664,10
23,Depp1,24.0,4.922015278210209,1.5419888097927994,-1.0039067268371582,4
24,Ddc,24.0,3.191831131941191,1.0168114278980387,0.27751970291137695,22
25,Mfsd2a,24.0,4.5046982673588705,1.809187653752712,-0.3345964749654134,11
26,Nedd4l,24.0,3.804885908188607,1.6299814217996853,0.5660510857899984,23
27,Irf2bp2,24.0,2.499831175419886,0.9513469771077498,-1.0349243481953938,19
28,Mup16,16.0,2.6711099309882016,1.3311928794518906,-1.8475782076517742,13
29,Lhpp,24.0,3.2165284089341917,1.0407159088911806,-0.38343079884847003,7
30,Gstm3,24.0,2.510767860868663,1.0158545927275124,-0.9737583796183268,2
31,Rdh9,24.0,2.99254766808899,1.2789248191661737,0.23246423403422037,9
32,Ndrg1,16.0,1.1271660623812794,0.5635830311906397,-1.8592359224955242,10
33,Foxa3,24.0,3.9673399989724216,1.7055857393529998,-0.9780885378519694,12
34,Atp11a,16.0,3.6052910286543023,1.8026455143271511,-1.8414459228515625,10
35,Eif4ebp3,24.0,5.174191164396746,2.0853607822115943,0.3122251828511556,15
36,Creld2,12.0,3.8944941033624887,1.8097521047929586,-0.3916422526041667,2
37,Per2,24.0,1.6644885203814135,0.6746755799442143,0.3118119239807129,14
38,Slc30a10,24.0,4.351230807546369,1.4256203001718881,0.6013769308725992,24
39,Dbp,24.0,3.5047913505117303,1.2995248724240076,0.6832133928934733,9
40,Lrp2,18.0,2.1919391230322813,1.0781631648898857,-1.898348331451416,18
41,Ptprb,16.0,2.286972872815822,1.143486436407911,-1.2405850092569988,4
42,Nr1d2,24.0,6.958917201439045,2.780393722723461,1.2344103654225667,8
43,Ehd3,16.0,1.8818923139691464,0.9409461569845732,-1.0717441240946453,3
44,Tjp3,24.0,3.7417872580299747,1.4318999422743732,0.6547434329986572,24
45,Zfp970,24.0,5.048595561858125,1.7729341997573094,-0.30858898162841797,13
46,Moxd1,16.0,3.102387260648139,1.5511936303240694,-1.8366920153299968,11
47,Aqp1,12.0,2.148986666389154,1.074493333194577,-1.8365618387858074,6
48,Sdc3,16.0,2.5564300873206895,1.1421385780942945,-1.5049360593159993,3
49,Timp3,16.0,1.3858449792706753,0.6293988543172914,-1.9109700520833333,10
50,Ahr,12.0,2.617149275108171,1.3085746375540854,-1.0552849769592285,12
51,Neb,22.0,3.6259754103173427,1.615087069898765,-1.567949930826823,11
52,Ugt1a6a,16.0,4.240969697195747,2.1204848485978736,-0.36446714401245117,5
53,Clock,24.0,5.933658023619436,1.9558699980037875,0.7323666413625082,23
54,Susd4,12.0,2.4345600563019714,1.2172800281509857,-1.6780211130777996,12
55,Slc8b1,24.0,1.829942411655446,0.5365863784576211,-0.5413457552591959,7
56,Reln,16.0,2.137265408594228,1.068632704297114,-0.9965330759684244,4
57,Syne1,24.0,3.908999053995095,1.5063142677356307,0.6194446086883545,24
58,Efna1,24.0,5.735713598267736,2.1765340378694558,-0.7032168706258138,2
59,Fabp2,12.0,2.368041671840997,1.1840208359204984,-1.849106788635254,5
60,Necab1,24.0,3.1079364161630045,1.1442417657687638,0.13666415214538574,4
61,Mup-ps16,22.0,1.750275654438848,0.6800413830391668,-1.2571608225504558,8
62,Homer2,24.0,4.922617092381142,1.5340256285505651,0.48650487263997394,13
63,Klb,24.0,3.1318822150576855,1.1675683309478988,-0.3537297248840332,6
64,Plk3,24.0,1.9489742093777245,0.7152022095903692,-0.8674329121907552,12
65,Rgs16,24.0,3.3158528601820945,1.343964321242852,0.4715062777201335,8
66,Slc41a2,24.0,2.046571622122443,0.5816333258136077,-1.349546750386556,23
67,Etfbkmt,24.0,3.4976258936213833,1.224013168527432,-0.7386859258015951,16
68,Sbk1,24.0,3.4278011717477495,1.2892390080124165,0.034255663553873696,11
69,Slc45a3,24.0,2.8563634244443143,0.9071531247622305,0.5583048661549886,19
70,Denn2b,24.0,4.5489198990893245,1.6488927985797368,0.6201705932617188,21
71,Sucnr1,24.0,2.0394535240912717,0.7750532967251225,-0.8434123992919922,4
72,Cd5l,24.0,2.9494328275298054,0.8957502470383598,-1.4915366172790527,5
73,Cyp4b1,14.0,2.245611626145176,1.122805813072588,-1.9000536600748699,6
74,Sparc,16.0,1.5052806638179264,0.6991818052261612,-1.8548213640848796,9
75,Foxa2,12.0,4.714985385557716,2.357492692778858,-1.217193603515625,10
76,Nox4,12.0,3.1548970579163336,1.5774485289581668,-1.8872489929199219,6
77,Nr0b2,24.0,3.569933322583718,1.2020117315062642,-0.23881912231445312,2
78,Gstm4,24.0,2.778800410873974,0.9986828914884448,0.21680696805318198,4
79,Acta1,24.0,1.785012333476556,0.6637012291605102,-1.750482400258382,7
80,Arsa,24.0,3.2577919458819795,1.284503062621902,0.649283250172933,7
81,Foxq1,24.0,3.7737160398408873,1.3598059138052392,-1.2432344754536946,11
82,Mme,24.0,2.026878501576551,0.6902378302449562,-1.489000638326009,17
83,Slc20a1,24.0,2.161560136996604,0.7799896011753221,-0.24244085947672525,10
84,Tm4sf4,24.0,2.1617444361637097,0.6899722257921231,-0.0007626215616861979,6
85,Il1r1,24.0,3.331094930774577,1.2267067870374326,-0.8015654881795248,12
86,Mreg,24.0,5.569562970005125,1.7406477891912857,0.678604523340861,22
87,Col14a1,16.0,3.4132166997169833,1.5543148758589478,-0.9014616012573242,4
88,Urml,24.0,3.050758548053115,1.167705256160579,-0.2289921442667643,23
89,Pltp,12.0,4.7088115357389455,2.3544057678694728,-1.6619307200113933,4
90,Sdf2l1,24.0,4.366046445981149,1.471109071471379,-0.9114770889282227,1
91,Slc3a1,10.0,1.649005182150083,0.8245025910750415,-1.840588887532552,10
92,Fnip2,24.0,3.2819529183968097,1.342099663814099,0.16873661677042642,9
93,Foxa1,12.0,1.8842518359898228,0.9421259179949114,-1.141466776529948,10
94,Fkbp5,24.0,2.2316055928679472,0.8295643910879569,0.03359349568684896,13
95,Tnfaip2,24.0,3.4013322964244317,1.406771771858235,0.15262444814046225,24
96,Soat2,24.0,3.4373693995488694,1.112793469567997,0.34216562906901044,6
97,B4galt5,24.0,2.4651916417000965,0.8365682862117185,-0.8353565533955892,14
98,Fndc4,24.0,0.9723894919004004,0.29720566255964737,-1.6289283434549968,2
99,Gm49668,22.0,1.837898567131768,0.832129131830749,-1.206282615661621,4
100,Klhdc7a,24.0,2.947764789457612,0.8524383195361369,-0.48019107182820636,7
101,Dnase1l3,16.0,1.3390501122280478,0.6695250561140239,-1.75328795115153,3
102,Glt1d1,24.0,3.021583990157048,1.1515948497664694,-0.3862193425496419,11
103,Cyp2c38,16.0,2.461375257048518,1.188208021208199,-1.2685639063517253,3
104,Dusp6,16.0,3.0319028620568544,1.4570213765224485,-1.1484951972961426,1
105,Il6ra,24.0,3.9985088418876806,1.2405341010123618,-0.18732293446858725,12
106,Itga5,24.0,3.636531263391899,1.4795608770758004,0.4448114236195882,22
107,Nolc1,24.0,3.1545529944839963,1.2595708315865766,-0.3841077486673991,14
108,Celsr1,24.0,4.74799710958669,2.026830628665517,0.26341573397318524,17
109,Tmsb4x,12.0,1.3891640360391901,0.6945820180195951,-1.729070504506429,2
110,Gabbr2,24.0,1.9945925390894514,0.6211705048426284,-0.7043108940124512,8
111,Cgn,24.0,2.806867783398225,1.0058219087796778,0.5424620310465494,23
112,Atxn1,22.0,2.2950490555702863,0.8767257791671379,-1.5434548060099285,21
113,Ppard,24.0,4.125346851410979,1.733113576078035,0.5302508672078451,22
114,Serpina7,24.0,2.058478911259588,0.6440761839670911,-0.8086427052815756,5
115,Vnn1,12.0,3.475307812089212,1.737653906044606,-1.582344690958659,5
116,Khnyn,24.0,2.7937248098406817,1.0134241692432988,-0.6404972076416016,4
117,Lrp4,24.0,4.038189663424974,1.5478012001473123,0.6920506159464518,12
118,Sorbs3,24.0,3.2930508675003014,1.1956332061060826,-0.0702358881632487,8
119,Stab2,16.0,1.7237391869059902,0.8618695934529951,-1.5263201395670574,5
120,Dyrk1b,24.0,5.259671644627706,2.2306682215907814,0.32932066917419434,6
121,Prr16,22.0,3.7921329596353064,1.5192210264554564,-1.1570380528767903,18
122,Jade1,24.0,4.526054932097907,1.4122555228189015,0.7381171385447184,7
123,Pstpip2,24.0,1.3091895365873165,0.4873615732058144,-0.662259578704834,1
124,Ube2g2,24.0,4.627709652891064,1.8015960497436374,-0.5347097714742025,24
125,Cd36,12.0,3.306950981949444,1.653475490974722,-1.7019402186075847,6
126,9030622O22Rik,16.0,2.2218604515628857,1.0672386963752312,-1.7234309514363606,15
127,Carmil1,24.0,2.1985046618903037,0.7246143184837966,-0.3383197784423828,5
128,Tbc1d2b,24.0,3.18976514919148,1.2624703038432443,-0.9823741912841797,12
129,Gnat1,24.0,6.485680749381558,2.47472090823564,0.5422241687774658,7
130,Gda,24.0,2.5055977601502573,0.9096081492763214,-0.13891824086507162,15
131,Eif1a,24.0,2.5564939679647547,0.929335814847778,-0.20629119873046875,24
132,Trim2,24.0,3.3568485294636154,1.0913155215371197,0.5190161863962809,23
133,Ces2c,10.0,2.5862392603155047,1.2931196301577523,-1.8901316324869792,10
134,Idh3a,24.0,1.4592458095223146,0.43532319826820703,-1.5395941734313965,16
135,Spp1,16.0,1.85755509523642,0.92877754761821,-1.6862516403198242,10
136,Dipk2a,22.0,3.6878991736706035,1.5316187724928838,-1.1108676592508953,17
137,Mical2,24.0,2.761007959295853,0.8793691726938231,0.23024773597717285,22
138,Fgfrl1,24.0,2.7898978084583037,0.896060528977187,0.05543311436971029,8
139,Per3,24.0,4.655175700095332,1.9173862938648216,0.9242863655090332,10
140,Mup19,22.0,1.1205685838789041,0.3859990970618786,-1.7533683776855469,11
141,Avpr1a,24.0,5.295164066726622,2.1930625101005696,0.9287947018941244,23
142,Gas2,12.0,2.6037829363858416,1.3018914681929208,-1.642238934834798,6
143,Arhgef10l,24.0,5.704585835762195,2.1998560374605947,-1.0509090423583984,4
144,Nceh1,24.0,2.553912459361007,0.8786103211528774,-1.7538053194681804,10
145,Arhgef26,24.0,4.242914122401039,1.5322001969779522,-0.5392889976501465,10
146,Lpl,18.0,2.9549251286156633,1.2472212207065299,-1.9007895787556965,18
147,Tnfaip8l1,24.0,1.3967690788460494,0.506574703257138,-0.6168414751688639,5
148,Nfil3,24.0,2.884915350441352,0.9788150118161582,0.5328473250071207,23
149,Tpm1,22.0,1.6708846128090626,0.7224364734183261,-1.728400707244873,10
150,Csf1r,12.0,3.835983456244075,1.9179917281220376,-1.7839457194010417,1
151,Txnip,24.0,5.781066462832168,2.1243189612058253,-0.8452633221944174,7
152,Pdzk1,12.0,2.3294382646439793,1.1647191323219896,-1.9266637166341145,6
153,Shld2,24.0,2.5875374639244093,1.0458871344210658,-0.5951326688130697,14
154,Ptp4a1,24.0,2.859719417228213,1.2013606593746855,0.06104596455891927,12
155,Nhlrc2,24.0,3.571489736741262,1.255718345343716,0.008926709493001303,12
156,Srm,24.0,2.3964309591687596,0.8606694449626152,-0.16609509785970053,14
157,Esrra,24.0,2.729963082931248,0.8568732996622632,-1.137423038482666,14
158,Pex26,24.0,2.3179987039980428,0.7863068129646769,0.02701536814371745,11
159,Irf1,24.0,1.9688660746894469,0.599417253974975,-1.298415978749593,4
160,Cobl,22.0,1.9244904524648176,0.7278089187775897,-1.8333624203999836,17
161,Fitm1,16.0,2.529322871287361,1.2200871224609406,-1.7954607009887695,5
162,Tgfbi,16.0,4.9273225850905025,2.0504095451821582,-1.2016574541727703,4
163,Rai14,24.0,3.0590028992046236,1.2704509277323968,0.43028418223063153,24
164,Reps2,18.0,2.927394178628708,1.272827339146654,-1.920167605082194,17
165,Rnf43,12.0,2.382709704176443,1.1913548520882216,-1.0738952954610188,11
166,Uap1,12.0,3.435980073172771,1.7179900365863856,-1.0889097849527996,1
167,Mpv17l,12.0,2.9079903957457325,1.4539951978728662,-1.9010696411132812,6
168,Slc17a4,24.0,3.07498733035936,1.1984011501437193,-1.1183767318725586,2
169,Szt2,24.0,3.401128085757942,1.1967936595643245,0.25547250111897785,23
170,Pitpnc1,24.0,1.926443593607162,0.7291369506461809,0.06877819697062175,11
171,Car14,22.0,3.2329465340401344,1.2260136051297672,-1.122119426727295,2
172,Nxpe2,24.0,2.879048248398653,1.110089300446253,-1.1433175404866536,8
173,Col4a2,16.0,2.144690316265195,1.0198517651979935,-1.9223052660624187,10
174,Rusc2,24.0,4.287890851222868,1.5803762214582062,0.22161054611206055,14
175,Paox,24.0,1.9680467112132505,0.7458139662431184,-0.9810512860616049,1
176,Slc10a2,16.0,1.4679845386148278,0.700914877298992,-1.5583871205647786,2
177,Fam149a,24.0,3.2756116171202976,1.1947861892060105,-0.16029437383015951,1
178,Vipr1,16.0,4.437905359626579,2.2189526798132895,-0.5937407811482748,5
179,Ank,24.0,2.3319663340521237,0.7714760076187218,-0.44317197799682617,12
180,Irs1,24.0,2.0687115016164523,0.6891232765038778,-1.0752189954121907,24
181,Tmem131l,24.0,4.0294793184962385,1.7728967093237495,0.09977165857950847,8
182,Nfkbia,24.0,4.509949335706753,1.4400572836632515,-0.7459375063578287,9
183,Per1,24.0,4.012344720647262,1.35015402634231,0.2783966859181722,11
184,Mup18,12.0,3.5677844307432167,1.7838922153716084,-1.7533253033955891,9
185,Dnase2b,24.0,3.5648370221158334,1.2279919373422739,-1.1743351618448894,6
186,Gm12909,24.0,3.057796511805333,0.9318166778531083,-0.7780014673868815,4
187,Dusp1,22.0,2.3183915250955867,1.0286025085228558,-0.9786240259806315,17
188,Gfpt1,12.0,1.6314870678854854,0.8157435339427427,-0.519459088643392,1
189,Atf6b,24.0,4.782398783429313,1.492149383614452,-0.2761170069376628,24
190,B3galt1,24.0,4.1984753706725595,1.416249642200578,-1.6962779362996419,18
