SRX8366195	SRR11815189	SRR11815190	NextSeq 500
SRX8366194	SRR11815187	SRR11815188	NextSeq 500
SRX8366193	SRR11815185	SRR11815186	NextSeq 500
SRX8366192	SRR11815183	SRR11815184	NextSeq 500
SRX8366191	SRR11815181	SRR11815182	NextSeq 500
SRX8366190	SRR11815179	SRR11815180	NextSeq 500
SRX8366189	SRR11815178	NextSeq 500
SRX8366188	SRR11815176	SRR11815177	NextSeq 500
SRX8366187	SRR11815174	SRR11815175	NextSeq 500
SRX8366186	SRR11815172	SRR11815173	NextSeq 500
SRX8366185	SRR11815170	SRR11815171	NextSeq 500
SRX8366184	SRR11815168	SRR11815169	NextSeq 500
SRX8366183	SRR11815166	SRR11815167	NextSeq 500
SRX8366182	SRR11815164	SRR11815165	NextSeq 500
SRX8366181	SRR11815162	SRR11815163	NextSeq 500
SRX8366180	SRR11815160	SRR11815161	NextSeq 500
SRX8366179	SRR11815158	SRR11815159	NextSeq 500
SRX8366178	SRR11815157	Illumina NovaSeq 6000
SRX8366177	SRR11815156	Illumina NovaSeq 6000
SRX8366176	SRR11815155	Illumina NovaSeq 6000
SRX8366175	SRR11815154	Illumina NovaSeq 6000
SRX8366174	SRR11815153	Illumina NovaSeq 6000
SRX8366173	SRR11815152	Illumina NovaSeq 6000
SRX8366172	SRR11815151	Illumina NovaSeq 6000
SRX8366171	SRR11815150	Illumina NovaSeq 6000
SRX8366170	SRR11815149	Illumina NovaSeq 6000
SRX8366169	SRR11815148	Illumina NovaSeq 6000
SRX8366168	SRR11815147	Illumina NovaSeq 6000
SRX8366167	SRR11815146	Illumina NovaSeq 6000
SRX8366166	SRR11815145	Illumina NovaSeq 6000
SRX8366165	SRR11815144	Illumina NovaSeq 6000
SRX8366164	SRR11815143	Illumina NovaSeq 6000
SRX8366163	SRR11815142	Illumina NovaSeq 6000
SRX8366162	SRR11815141	Illumina NovaSeq 6000
SRX8366161	SRR11815140	Illumina NovaSeq 6000
SRX8366160	SRR11815139	Illumina NovaSeq 6000
SRX8366159	SRR11815138	Illumina NovaSeq 6000
SRX8366158	SRR11815137	Illumina NovaSeq 6000
SRX8366157	SRR11815136	Illumina NovaSeq 6000
SRX8366156	SRR11815135	Illumina NovaSeq 6000
SRX8366155	SRR11815134	Illumina NovaSeq 6000
SRX8366154	SRR11815133	Illumina NovaSeq 6000
SRX8366153	SRR11815132	Illumina NovaSeq 6000
SRX8366152	SRR11815131	Illumina NovaSeq 6000
